DateTime,Date,Time,Currency,Impact,Event
2011-01-06T13:30:00+00:00,2011-01-06,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-01-07T13:30:00+00:00,2011-01-07,13:30,USD,High Impact Expected,Non-Farm Employment Change
2011-01-13T13:30:00+00:00,2011-01-13,13:30,USD,High Impact Expected,CPI m/m
2011-01-13T13:30:00+00:00,2011-01-13,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-01-20T13:30:00+00:00,2011-01-20,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-01-26T19:00:00+00:00,2011-01-26,19:00,USD,High Impact Expected,FOMC Statement
2011-01-27T13:30:00+00:00,2011-01-27,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-01-28T13:30:00+00:00,2011-01-28,13:30,USD,High Impact Expected,Core PCE m/m
2011-02-03T13:30:00+00:00,2011-02-03,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-02-04T13:30:00+00:00,2011-02-04,13:30,USD,High Impact Expected,Non-Farm Employment Change
2011-02-10T13:30:00+00:00,2011-02-10,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-02-14T13:30:00+00:00,2011-02-14,13:30,USD,High Impact Expected,CPI m/m
2011-02-17T13:30:00+00:00,2011-02-17,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-02-24T13:30:00+00:00,2011-02-24,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-02-25T13:30:00+00:00,2011-02-25,13:30,USD,High Impact Expected,Core PCE m/m
2011-03-03T13:30:00+00:00,2011-03-03,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-03-04T13:30:00+00:00,2011-03-04,13:30,USD,High Impact Expected,Non-Farm Employment Change
2011-03-10T13:30:00+00:00,2011-03-10,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-03-14T13:30:00+00:00,2011-03-14,13:30,USD,High Impact Expected,CPI m/m
2011-03-15T19:00:00+00:00,2011-03-15,19:00,USD,High Impact Expected,FOMC Statement
2011-03-17T13:30:00+00:00,2011-03-17,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-03-24T13:30:00+00:00,2011-03-24,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-03-25T13:30:00+00:00,2011-03-25,13:30,USD,High Impact Expected,Core PCE m/m
2011-03-31T13:30:00+00:00,2011-03-31,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-04-01T13:30:00+00:00,2011-04-01,13:30,USD,High Impact Expected,Non-Farm Employment Change
2011-04-07T13:30:00+00:00,2011-04-07,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-04-13T13:30:00+00:00,2011-04-13,13:30,USD,High Impact Expected,CPI m/m
2011-04-14T13:30:00+00:00,2011-04-14,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-04-21T13:30:00+00:00,2011-04-21,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-04-27T19:00:00+00:00,2011-04-27,19:00,USD,High Impact Expected,FOMC Statement
2011-04-28T13:30:00+00:00,2011-04-28,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-04-29T13:30:00+00:00,2011-04-29,13:30,USD,High Impact Expected,Core PCE m/m
2011-05-05T13:30:00+00:00,2011-05-05,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-05-06T13:30:00+00:00,2011-05-06,13:30,USD,High Impact Expected,Non-Farm Employment Change
2011-05-12T13:30:00+00:00,2011-05-12,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-05-13T13:30:00+00:00,2011-05-13,13:30,USD,High Impact Expected,CPI m/m
2011-05-19T13:30:00+00:00,2011-05-19,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-05-26T13:30:00+00:00,2011-05-26,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-05-27T13:30:00+00:00,2011-05-27,13:30,USD,High Impact Expected,Core PCE m/m
2011-06-02T13:30:00+00:00,2011-06-02,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-06-03T13:30:00+00:00,2011-06-03,13:30,USD,High Impact Expected,Non-Farm Employment Change
2011-06-09T13:30:00+00:00,2011-06-09,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-06-13T13:30:00+00:00,2011-06-13,13:30,USD,High Impact Expected,CPI m/m
2011-06-16T13:30:00+00:00,2011-06-16,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-06-22T19:00:00+00:00,2011-06-22,19:00,USD,High Impact Expected,FOMC Statement
2011-06-23T13:30:00+00:00,2011-06-23,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-06-24T13:30:00+00:00,2011-06-24,13:30,USD,High Impact Expected,Core PCE m/m
2011-06-30T13:30:00+00:00,2011-06-30,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-07-01T13:30:00+00:00,2011-07-01,13:30,USD,High Impact Expected,Non-Farm Employment Change
2011-07-07T13:30:00+00:00,2011-07-07,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-07-13T13:30:00+00:00,2011-07-13,13:30,USD,High Impact Expected,CPI m/m
2011-07-14T13:30:00+00:00,2011-07-14,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-07-21T13:30:00+00:00,2011-07-21,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-07-28T13:30:00+00:00,2011-07-28,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-07-29T13:30:00+00:00,2011-07-29,13:30,USD,High Impact Expected,Core PCE m/m
2011-08-04T13:30:00+00:00,2011-08-04,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-08-05T13:30:00+00:00,2011-08-05,13:30,USD,High Impact Expected,Non-Farm Employment Change
2011-08-09T19:00:00+00:00,2011-08-09,19:00,USD,High Impact Expected,FOMC Statement
2011-08-11T13:30:00+00:00,2011-08-11,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-08-15T13:30:00+00:00,2011-08-15,13:30,USD,High Impact Expected,CPI m/m
2011-08-18T13:30:00+00:00,2011-08-18,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-08-25T13:30:00+00:00,2011-08-25,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-08-26T13:30:00+00:00,2011-08-26,13:30,USD,High Impact Expected,Core PCE m/m
2011-09-01T13:30:00+00:00,2011-09-01,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-09-02T13:30:00+00:00,2011-09-02,13:30,USD,High Impact Expected,Non-Farm Employment Change
2011-09-08T13:30:00+00:00,2011-09-08,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-09-13T13:30:00+00:00,2011-09-13,13:30,USD,High Impact Expected,CPI m/m
2011-09-15T13:30:00+00:00,2011-09-15,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-09-21T19:00:00+00:00,2011-09-21,19:00,USD,High Impact Expected,FOMC Statement
2011-09-22T13:30:00+00:00,2011-09-22,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-09-29T13:30:00+00:00,2011-09-29,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-09-30T13:30:00+00:00,2011-09-30,13:30,USD,High Impact Expected,Core PCE m/m
2011-10-06T13:30:00+00:00,2011-10-06,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-10-07T13:30:00+00:00,2011-10-07,13:30,USD,High Impact Expected,Non-Farm Employment Change
2011-10-13T13:30:00+00:00,2011-10-13,13:30,USD,High Impact Expected,CPI m/m
2011-10-13T13:30:00+00:00,2011-10-13,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-10-20T13:30:00+00:00,2011-10-20,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-10-27T13:30:00+00:00,2011-10-27,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-10-28T13:30:00+00:00,2011-10-28,13:30,USD,High Impact Expected,Core PCE m/m
2011-11-02T19:00:00+00:00,2011-11-02,19:00,USD,High Impact Expected,FOMC Statement
2011-11-03T13:30:00+00:00,2011-11-03,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-11-04T13:30:00+00:00,2011-11-04,13:30,USD,High Impact Expected,Non-Farm Employment Change
2011-11-10T13:30:00+00:00,2011-11-10,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-11-14T13:30:00+00:00,2011-11-14,13:30,USD,High Impact Expected,CPI m/m
2011-11-17T13:30:00+00:00,2011-11-17,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-11-24T13:30:00+00:00,2011-11-24,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-11-25T13:30:00+00:00,2011-11-25,13:30,USD,High Impact Expected,Core PCE m/m
2011-12-01T13:30:00+00:00,2011-12-01,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-12-01T15:00:00+00:00,2011-12-01,15:00,USD,High Impact Expected,ISM Manufacturing PMI
2011-12-02T13:30:00+00:00,2011-12-02,13:30,USD,High Impact Expected,Non-Farm Employment Change
2011-12-08T13:30:00+00:00,2011-12-08,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-12-13T13:30:00+00:00,2011-12-13,13:30,USD,High Impact Expected,CPI m/m
2011-12-13T19:00:00+00:00,2011-12-13,19:00,USD,High Impact Expected,FOMC Statement
2011-12-15T13:30:00+00:00,2011-12-15,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-12-22T13:30:00+00:00,2011-12-22,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-12-29T13:30:00+00:00,2011-12-29,13:30,USD,High Impact Expected,Initial Jobless Claims
2011-12-30T13:30:00+00:00,2011-12-30,13:30,USD,High Impact Expected,Core PCE m/m
2012-01-05T13:30:00+00:00,2012-01-05,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-01-06T13:30:00+00:00,2012-01-06,13:30,USD,High Impact Expected,Non-Farm Employment Change
2012-01-12T13:30:00+00:00,2012-01-12,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-01-13T13:30:00+00:00,2012-01-13,13:30,USD,High Impact Expected,CPI m/m
2012-01-19T13:30:00+00:00,2012-01-19,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-01-25T19:00:00+00:00,2012-01-25,19:00,USD,High Impact Expected,FOMC Statement
2012-01-26T13:30:00+00:00,2012-01-26,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-01-27T13:30:00+00:00,2012-01-27,13:30,USD,High Impact Expected,Core PCE m/m
2012-02-02T13:30:00+00:00,2012-02-02,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-02-03T13:30:00+00:00,2012-02-03,13:30,USD,High Impact Expected,Non-Farm Employment Change
2012-02-09T13:30:00+00:00,2012-02-09,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-02-13T13:30:00+00:00,2012-02-13,13:30,USD,High Impact Expected,CPI m/m
2012-02-16T13:30:00+00:00,2012-02-16,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-02-23T13:30:00+00:00,2012-02-23,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-02-24T13:30:00+00:00,2012-02-24,13:30,USD,High Impact Expected,Core PCE m/m
2012-03-01T13:30:00+00:00,2012-03-01,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-03-02T13:30:00+00:00,2012-03-02,13:30,USD,High Impact Expected,Non-Farm Employment Change
