params,final_equity,trades,win_rate,profit_factor,max_drawdown,sharpe,sortino,cagr,ulcer_index
"{'risk_per_trade': 0.005, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 48}",0.3916447829941289,2634,0.35079726651480636,0.2594524982181097,0.9999615445394047,-4.386486871289575,-2.1738191621007625,-0.4263245615119037,0.9176179080599108
"{'risk_per_trade': 0.005, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 96}",27.48296316259371,1545,0.35210355987055014,0.2547033841432206,0.9972901573594661,-3.463110413520544,-1.402979061029465,-0.27595957745858923,0.8596977363165222
"{'risk_per_trade': 0.005, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 192}",281.2385512344686,912,0.3344298245614035,0.24398560427750599,0.9721022252768708,-2.780618300773199,-0.8460629222563094,-0.17762262643031335,0.7635758847548213
"{'risk_per_trade': 0.005, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 48}",0.008821420672190168,1948,0.14784394250513347,0.18691018138433307,0.9999991499719971,-2.933547465087354,-2.294257830910921,-0.5339237597812694,0.9561337346334707
"{'risk_per_trade': 0.005, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 96}",4.681686036878482,1153,0.15351257588898526,0.19521183297679487,0.9995446464828779,-2.307026347203978,-1.5118266566229712,-0.34284044052575724,0.9205138847092873
"{'risk_per_trade': 0.005, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 192}",87.15616196145174,685,0.14014598540145987,0.21966581130154625,0.991537929393937,-2.0206624297241893,-0.9154774308526076,-0.22872282922019593,0.8526908483263786
"{'risk_per_trade': 0.01, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 48}",1.205800757313349e-05,2634,0.35079726651480636,0.23860469976597565,0.9999999988373384,-4.385988707493658,-2.17374111993004,-0.6752048170852383,0.9637217152515591
"{'risk_per_trade': 0.01, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 96}",0.06679803642332226,1545,0.35210355987055014,0.2532118349979679,0.9999935052873605,-3.46266878959088,-1.4029134146943651,-0.47928098227496285,0.9345203196731464
"{'risk_per_trade': 0.01, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 192}",7.379324140944686,912,0.3344298245614035,0.2556154542422225,0.9992738604212009,-2.780686256310752,-0.8461039773763481,-0.32626018545118807,0.883626342753799
"{'risk_per_trade': 0.01, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 48}",3.7597601420815786e-09,1948,0.14784394250513347,0.1718444254123701,0.9999999999996506,-2.9807468547428546,-2.3317642908767824,-0.791255866501868,0.979529823210232
"{'risk_per_trade': 0.01, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 96}",0.0014311533818871975,1153,0.15351257588898526,0.1977087176335308,0.999999864553054,-2.3545259527919917,-1.52442292816381,-0.5781048291114808,0.9636611123106785
"{'risk_per_trade': 0.01, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 192}",0.6351406248247914,685,0.14014598540145987,0.21338146778852382,0.9999390901152101,-2.02420250490006,-0.9188614780020782,-0.4109330569916797,0.9344486935731992
"{'risk_per_trade': 0.02, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 48}",5.023721053027204e-15,2634,0.35079726651480636,0.21889910005626098,1.0,-4.384962381134058,-2.173579486713659,-0.9004718429156199,0.9842451608171953
"{'risk_per_trade': 0.02, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 96}",2.676913943368845e-07,1545,0.35210355987055014,0.2374661269032476,0.9999999999746856,-3.4617607498996312,-1.4027764564552037,-0.7363328698279439,0.9720317282505465
"{'risk_per_trade': 0.02, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 192}",0.004080977424254531,912,0.3344298245614035,0.26076268799620855,0.999999604790675,-2.78081120417544,-0.8461838571645669,-0.5531881518270207,0.9456223722309827
"{'risk_per_trade': 0.02, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 48}",8.722268321486942e-23,1948,0.14784394250513347,0.16471218340445387,1.0,-3.0454064471082476,-2.3833893457833004,-0.9625901693054679,0.9894596691829284
"{'risk_per_trade': 0.02, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 96}",4.526476433494896e-11,1153,0.15351257588898526,0.197564392952962,0.9999999999999959,-2.421360844675813,-1.54399544124884,-0.8361268840704049,0.9825995415619977
"{'risk_per_trade': 0.02, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 192}",2.0055190417957437e-05,685,0.14014598540145987,0.2319740212520562,0.9999999980473611,-2.030279651988248,-0.924551612747112,-0.6660288932408782,0.9684905626363549
