params,final_equity,trades,win_rate,profit_factor,max_drawdown,sharpe,sortino,cagr,ulcer_index
"{'risk_per_trade': 0.005, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 48}",0.0,252,0.4246031746031746,0.1461854585970905,1.0,-1.3451294784383656,-0.5925432347222942,-1.0,0.34881579539640717
"{'risk_per_trade': 0.005, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 96}",0.0,151,0.3973509933774834,0.08313850913323621,1.0,-1.2464224972954165,-0.4563086560434629,-1.0,0.31792715257071485
"{'risk_per_trade': 0.005, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 192}",0.0,180,0.3611111111111111,0.11603044500319006,1.0,-1.0830534436320904,-0.31321082812021167,-1.0,0.5371687421881928
"{'risk_per_trade': 0.005, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 48}",0.0,180,0.24444444444444444,0.3384502169775042,1.0,-0.8470146261936613,-0.5410575974309827,-1.0,0.46058152918897377
"{'risk_per_trade': 0.005, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 96}",0.0,109,0.1834862385321101,0.1444682840727967,1.0,-0.8311784799210276,-0.431341894881157,-1.0,0.4529162715918043
"{'risk_per_trade': 0.005, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 192}",0.0,130,0.12307692307692308,0.14280557052901863,1.0,-1.4659579420403366,-0.4882554162197528,-1.0,0.6402948912537726
"{'risk_per_trade': 0.01, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 48}",0.0,252,0.4246031746031746,0.23556373949251033,1.0,-1.7586245892254007,-0.7741249210374427,-1.0,0.506393013996291
"{'risk_per_trade': 0.01, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 96}",0.0,151,0.3973509933774834,0.13376917592566767,1.0,-1.6032214867822834,-0.5864500949733583,-1.0,0.4838145415279485
"{'risk_per_trade': 0.01, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 192}",0.0,134,0.3582089552238806,0.1502197369174064,1.0,-1.1141157557662285,-0.3182361667093599,-1.0,0.43372153740180613
"{'risk_per_trade': 0.01, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 48}",0.0,146,0.23972602739726026,0.48492021168668675,1.0,-1.5762769864667945,-0.8393391958686056,-1.0,0.4659658603104947
"{'risk_per_trade': 0.01, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 96}",0.0,87,0.16091954022988506,0.1377864849540163,1.0,-1.7299490221062666,-0.7255898276165934,-1.0,0.48024041551358504
"{'risk_per_trade': 0.01, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 192}",0.0,95,0.11578947368421053,0.21105691274009042,1.0,-1.6518472228363805,-0.5526959209931616,-1.0,0.6095589356324854
"{'risk_per_trade': 0.02, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 48}",0.0,200,0.405,0.34828822580040436,1.0,-1.9313474428072717,-0.8622990057390681,-1.0,0.522859337602949
"{'risk_per_trade': 0.02, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 96}",0.0,117,0.36752136752136755,0.20620806113935808,1.0,-1.694055112941902,-0.6192888459543768,-1.0,0.5274779155597575
"{'risk_per_trade': 0.02, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 192}",0.0,134,0.3582089552238806,0.18347919340062951,1.0,-1.4752970100116294,-0.4227365848441279,-1.0,0.6420233770231555
"{'risk_per_trade': 0.02, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 48}",0.0,146,0.23972602739726026,0.6465001886551662,1.0,-1.8984056355882302,-1.049447776329297,-1.0,0.6353352714778082
"{'risk_per_trade': 0.02, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 96}",0.0,87,0.16091954022988506,0.21235799674573613,1.0,-2.2075931145325933,-0.9279476153266838,-1.0,0.6600865861649484
"{'risk_per_trade': 0.02, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 192}",0.0,70,0.14285714285714285,0.2723097459145207,1.0,-1.2909014881201886,-0.4639233732459134,-1.0,0.6116336780074515
