params,final_equity,trades,win_rate,profit_factor,max_drawdown,sharpe,sortino,cagr,ulcer_index
"{'risk_per_trade': 0.005, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 48}",0.0,158,0.4620253164556962,0.13122054136742065,1.0,-1.2131307150414952,-0.5694767690418213,-1.0,0.26712880407092227
"{'risk_per_trade': 0.005, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 96}",0.0,92,0.358695652173913,0.06225005854926266,1.0,-1.178169327432012,-0.4515269857478123,-1.0,0.2670211985185081
"{'risk_per_trade': 0.005, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 192}",0.0,406,0.41625615763546797,0.24444513904319073,1.0,-0.6065915793036478,-0.17648712203842093,-1.0,0.5187545303688883
"{'risk_per_trade': 0.005, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 48}",0.0,119,0.3025210084033613,0.20440024443376564,1.0,-1.4452335498977653,-0.726632874600306,-1.0,0.4114349732664354
"{'risk_per_trade': 0.005, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 96}",0.0,73,0.2191780821917808,0.10853707538934693,1.0,-1.273688809214971,-0.5197597779459429,-1.0,0.33593054944938844
"{'risk_per_trade': 0.005, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 192}",0.0,58,0.2413793103448276,0.04063944964147917,1.0,-1.1153745027585429,-0.32928227039758173,-1.0,0.41917510500698857
"{'risk_per_trade': 0.01, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 48}",0.0,158,0.4620253164556962,0.17626988586862163,1.0,-1.515978083925239,-0.711283100723721,-1.0,0.4402912583982295
"{'risk_per_trade': 0.01, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 96}",0.0,92,0.358695652173913,0.08307709213405413,1.0,-1.4579881731575655,-0.5582424706301274,-1.0,0.4492175531574382
"{'risk_per_trade': 0.01, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 192}",0.0,81,0.4444444444444444,0.07291262094640705,1.0,-0.9944193441058371,-0.2659245546112397,-1.0,0.26018009022996863
"{'risk_per_trade': 0.01, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 48}",0.0,119,0.3025210084033613,0.29546290218117266,1.0,-1.722703995924905,-0.8708781402559733,-1.0,0.5881116593158815
"{'risk_per_trade': 0.01, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 96}",0.0,73,0.2191780821917808,0.15385385086635958,1.0,-1.6067981008291723,-0.6584059552150464,-1.0,0.5361882467783329
"{'risk_per_trade': 0.01, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 192}",0.0,58,0.2413793103448276,0.04673831670301172,1.0,-1.3279999008201226,-0.392304561729104,-1.0,0.6579727370610139
"{'risk_per_trade': 0.02, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 48}",0.0,109,0.4954128440366973,0.28688869807275347,1.0,-1.4445121631495172,-0.6508795843277092,-1.0,0.3291955826134942
"{'risk_per_trade': 0.02, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 96}",0.0,66,0.3787878787878788,0.1444516896833628,1.0,-1.6180125875293416,-0.6050166795847934,-1.0,0.409875402908138
"{'risk_per_trade': 0.02, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 192}",0.0,81,0.4444444444444444,0.11015293531264948,1.0,-1.2048003782541543,-0.32244952547040323,-1.0,0.4349131805264602
"{'risk_per_trade': 0.02, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 48}",0.0,80,0.3375,0.37013389316255924,1.0,-1.4071395450950295,-0.7245065770944619,-1.0,0.5465090461197625
"{'risk_per_trade': 0.02, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 96}",0.0,50,0.22,0.25029357188862567,1.0,-1.8247535699924298,-0.7612025062618731,-1.0,0.5811578177875477
"{'risk_per_trade': 0.02, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 192}",0.0,29,0.2413793103448276,0.05541575661292124,1.0,-1.5171198420922467,-0.4412653294879305,-1.0,0.46266924932373726
