params,final_equity,trades,win_rate,profit_factor,max_drawdown,sharpe,sortino,cagr,ulcer_index
"{'risk_per_trade': 0.005, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 48}",0.20963527485601224,2706,0.3100517368810052,0.21303117696962862,0.9999790364725144,-5.2090344537648745,-2.601708642061853,-0.44557700836604475,0.925222508310541
"{'risk_per_trade': 0.005, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 96}",19.596406506061903,1617,0.31910946196660483,0.22048703598675265,0.9980437210492555,-3.8894735048340654,-1.5558097573393652,-0.2892097126332531,0.8553774626044106
"{'risk_per_trade': 0.005, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 192}",287.28043064440953,955,0.34450261780104713,0.237814516853498,0.9716633447873719,-2.737800294953517,-0.8555190835396479,-0.1766408630741969,0.7431403782902204
"{'risk_per_trade': 0.005, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 48}",0.03451998191015696,2083,0.13538166106577051,0.2737018367321688,0.999996548001809,-3.526605499186968,-2.5903057145886526,-0.49771648595458207,0.9435586708659345
"{'risk_per_trade': 0.005, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 96}",8.509391208389994,1237,0.13985448666127728,0.24384372506243915,0.9991502060714804,-2.6728228770774884,-1.533411872581573,-0.3209432437237093,0.8919366157937144
"{'risk_per_trade': 0.005, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 192}",230.6833283442948,718,0.1532033426183844,0.452109133421678,0.9776045843774075,-1.5045529580070527,-0.7589144588587393,-0.18647292974515173,0.7409018151376787
"{'risk_per_trade': 0.01, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 48}",3.6339902004613482e-06,2706,0.3100517368810052,0.1894195851637531,0.999999999636601,-5.208834984474468,-2.6017008618382524,-0.6957973669005156,0.9665880769681886
"{'risk_per_trade': 0.01, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 96}",0.034319158915622004,1617,0.31910946196660483,0.21363633660030973,0.9999965798219289,-3.889295764985882,-1.5558109803753768,-0.49787691687172964,0.9289482602945797
"{'risk_per_trade': 0.01, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 192}",7.70322354032004,955,0.34450261780104713,0.24474958372714634,0.9992504775292719,-2.7376231024273125,-0.8555101858377402,-0.32463372642843513,0.8636801695908768
"{'risk_per_trade': 0.01, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 48}",7.212039611806784e-08,2083,0.13538166106577051,0.28602393266895754,0.9999999999927879,-3.551139379713725,-2.607481646194708,-0.7545531934112137,0.9733188228397145
"{'risk_per_trade': 0.01, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 96}",0.0052950569204022165,1237,0.13985448666127728,0.1899231476784603,0.9999994713964685,-2.6965957583894222,-1.5424000808964657,-0.5467164882160689,0.9530430310933713
"{'risk_per_trade': 0.01, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 192}",4.235166348010753,718,0.1532033426183844,0.45192623837350876,0.9995992810714899,-1.5158914924086668,-0.7668533703576652,-0.34639598478900935,0.8694151865751256
"{'risk_per_trade': 0.02, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 48}",5.96954753459412e-16,2706,0.3100517368810052,0.14701009929140108,1.0,-5.208413215499173,-2.6016782469301796,-0.9113974848507237,0.9858531721049876
"{'risk_per_trade': 0.02, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 96}",7.347308954790035e-08,1617,0.31910946196660483,0.18012151355440026,0.9999999999927026,-3.888922842981683,-1.5558086404237732,-0.7543033444503987,0.9679953418596212
"{'risk_per_trade': 0.02, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 192}",0.004431814454334909,955,0.34450261780104713,0.24178689968850708,0.9999995803247593,-2.7372590627973175,-0.8554907140377801,-0.551111790969689,0.9312198422267375
"{'risk_per_trade': 0.02, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 48}",7.465379660416476e-20,2083,0.13538166106577051,0.30621027723935607,1.0,-3.5916327041331635,-2.635429675839843,-0.9458304297796736,0.9866064321509498
"{'risk_per_trade': 0.02, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 96}",8.42873472445116e-10,1237,0.13985448666127728,0.17799092511635767,0.9999999999999157,-2.7373135533361914,-1.5580096974821414,-0.8076197422010863,0.9784907268578847
"{'risk_per_trade': 0.02, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 192}",0.0007577316360534681,718,0.1532033426183844,0.42292515250333096,0.9999999311970221,-1.5345002628667255,-0.779373281318797,-0.5924885083605638,0.9415769653503103
