params,final_equity,trades,win_rate,profit_factor,max_drawdown,sharpe,sortino,cagr,ulcer_index
"{'risk_per_trade': 0.005, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 48}",0.3923057442269864,2761,0.3556682361463238,0.28610671025611417,0.9999609474682309,-4.791537336011161,-2.325314601251381,-0.42622380147518124,0.9066300295323965
"{'risk_per_trade': 0.005, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 96}",30.067436602147307,1624,0.36637931034482757,0.3058865301813634,0.9970204962848427,-3.501621782775387,-1.3691329527390856,-0.27235263983261493,0.831441610311622
"{'risk_per_trade': 0.005, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 192}",273.5216551736482,1009,0.3538156590683845,0.30967278968944917,0.9727793410151706,-2.657564627091456,-0.7794710717698732,-0.17885035562955998,0.7366972336430277
"{'risk_per_trade': 0.005, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 48}",0.020419434192014165,2028,0.15877712031558186,0.4029491463337693,0.999998201393455,-3.0169811306154877,-2.3597142203806025,-0.5119503363366023,0.9390271598934551
"{'risk_per_trade': 0.005, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 96}",2.474094370199744,1195,0.16652719665271967,0.30875278389919464,0.9997660823535504,-2.695756839926701,-1.5165999864952007,-0.3653523925022589,0.8993028210593988
"{'risk_per_trade': 0.005, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 192}",67.01393054528657,725,0.14758620689655172,0.34956246412934605,0.9934806206100871,-1.950040891823723,-0.8648680963534348,-0.23971156562021223,0.8320033072267248
"{'risk_per_trade': 0.01, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 48}",1.275967112349948e-05,2761,0.3556682361463238,0.2508844414570815,0.9999999987355652,-4.7910575715447035,-2.3252457877155703,-0.6741425065399849,0.9582814151800559
"{'risk_per_trade': 0.01, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 96}",0.08089938901057732,1624,0.36637931034482757,0.3012675931290294,0.9999920557672677,-3.5011807323325406,-1.3690882675359994,-0.4737401110472632,0.9172950450958159
"{'risk_per_trade': 0.01, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 192}",6.954884728743355,1009,0.3538156590683845,0.350443080871356,0.9993111772065462,-2.657390251463787,-0.7794513374789649,-0.32840208557033257,0.8529909820161937
"{'risk_per_trade': 0.01, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 48}",2.1917868926085962e-08,2028,0.15877712031558186,0.4436100859462763,0.9999999999982758,-3.035630128463495,-2.3773183881658198,-0.7700484059076449,0.9713859938662726
"{'risk_per_trade': 0.01, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 96}",0.00045383326120639484,1195,0.16652719665271967,0.29213646736628374,0.9999999593052931,-2.7068548894894806,-1.5267556539902878,-0.6037666383140012,0.9524008732027084
"{'risk_per_trade': 0.01, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 192}",0.3574049782980238,725,0.14758620689655172,0.37759382966584326,0.9999661339817252,-1.957866745479511,-0.8696305651453986,-0.4291433775089595,0.9130920220366057
"{'risk_per_trade': 0.02, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 48}",7.510321993753656e-15,2761,0.3556682361463238,0.2024377851061771,1.0,-4.7900714521871475,-2.325101985609076,-0.8982211204133392,0.9829422522362677
"{'risk_per_trade': 0.02, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 96}",4.133291085059232e-07,1624,0.36637931034482757,0.2565773028093095,0.9999999999601383,-3.5002729626880886,-1.3689944486385341,-0.7299324779976792,0.9636106125676305
"{'risk_per_trade': 0.02, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 192}",0.0035724104434479167,1009,0.3538156590683845,0.3724980449008162,0.9999996495619116,-2.657033520260883,-0.779410333869561,-0.5563787798630835,0.9213735395045763
"{'risk_per_trade': 0.02, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 48}",4.251606432541053e-21,2028,0.15877712031558186,0.5277935372508611,1.0,-3.064256876179243,-2.4049826433210986,-0.9536961929550728,0.9855649650298425
"{'risk_per_trade': 0.02, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 96}",6.348485715158457e-12,1195,0.16652719665271967,0.27464831711139875,0.9999999999999996,-2.723946148777339,-1.5426470947941509,-0.8527968361196923,0.9783119715481385
"{'risk_per_trade': 0.02, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 192}",5.26299289451459e-06,725,0.14758620689655172,0.3801856155476316,0.9999999995262988,-1.9708548059979327,-0.8774176658499977,-0.6895656569709736,0.9567773380253252
