symbol,side,entry_time,exit_time,entry_price,exit_price,stop,target,size,pnl,confluence
EURUSD,sell,2007-01-04T15:00:00+00:00,2007-01-04T16:00:00+00:00,1.30837,1.32478,1.31721,1.32438,11834.3195,-194.20050,0.555
EURUSD,buy,2007-02-16T14:00:00+00:00,2007-02-16T15:00:00+00:00,1.31229,1.31107,1.31151,1.31268,251430.7565,-308.50755,0.67
EURUSD,sell,2007-02-22T08:00:00+00:00,2007-02-22T09:00:00+00:00,1.30888,1.31707,1.31359,1.31667,21984.4721,-180.00407,0.505
EURUSD,buy,2007-02-22T15:00:00+00:00,2007-02-22T16:00:00+00:00,1.31106,1.31243,1.30930,1.31341,51007.0505,69.84666,0.52
EURUSD,buy,2007-02-22T15:00:00+00:00,2007-02-22T16:00:00+00:00,1.31106,1.31062,1.31106,1.31341,17002.3502,-7.53721,0.52
EURUSD,buy,2007-04-27T13:00:00+00:00,2007-04-27T15:00:00+00:00,1.36721,1.36354,1.36400,1.36820,33498.5619,-122.91376,0.516
EURUSD,sell,2007-05-17T13:00:00+00:00,2007-05-17T14:00:00+00:00,1.34828,1.35796,1.35229,1.35755,25641.7828,-248.26038,0.555
EURUSD,buy,2007-05-30T19:00:00+00:00,2007-05-30T21:00:00+00:00,1.34342,1.34207,1.34252,1.34402,180168.4640,-244.24484,0.65
EURUSD,sell,2007-06-01T13:00:00+00:00,2007-06-01T14:00:00+00:00,1.34215,1.34128,1.34342,1.34079,75553.2617,65.76932,0.516
EURUSD,sell,2007-06-01T13:00:00+00:00,2007-06-01T14:00:00+00:00,1.34215,1.34260,1.34215,1.34079,25184.4206,-11.39996,0.516
EURUSD,buy,2007-06-08T19:00:00+00:00,2007-06-11T00:00:00+00:00,1.33708,1.33405,1.33450,1.34104,40452.0537,-122.62389,0.65
EURUSD,buy,2007-07-12T08:00:00+00:00,2007-07-12T09:00:00+00:00,1.37908,1.37074,1.37476,1.37115,22240.2144,-185.59339,0.505
EURUSD,sell,2007-07-27T13:00:00+00:00,2007-07-27T16:00:00+00:00,1.36491,1.36331,1.36692,1.36311,39892.1739,63.85643,0.516
EURUSD,sell,2007-07-27T13:00:00+00:00,2007-07-27T16:00:00+00:00,1.36491,1.36352,1.36491,1.36311,13297.3913,18.50293,0.516
EURUSD,buy,2007-08-23T12:00:00+00:00,2007-08-23T13:00:00+00:00,1.35633,1.35122,1.35413,1.35163,48003.8537,-244.92838,0.505
EURUSD,sell,2007-09-28T13:00:00+00:00,2007-09-28T14:00:00+00:00,1.41937,1.42143,1.42095,1.41750,72589.2298,-148.97052,0.62
EURUSD,buy,2007-10-11T12:00:00+00:00,2007-10-11T13:00:00+00:00,1.41797,1.40905,1.41429,1.40947,25227.0489,-224.97742,0.505
EURUSD,sell,2007-10-11T13:00:00+00:00,2007-10-11T14:00:00+00:00,1.41688,1.42207,1.42159,1.40875,18630.4053,-96.53689,0.62
EURUSD,buy,2007-10-25T13:00:00+00:00,2007-10-25T14:00:00+00:00,1.43193,1.41814,1.42941,1.41857,37690.3186,-519.56183,0.555
EURUSD,sell,2007-10-25T19:00:00+00:00,2007-10-25T20:00:00+00:00,1.43068,1.43286,1.43238,1.42857,57934.7619,-126.24344,0.5700000000000001
EURUSD,buy,2007-11-02T12:00:00+00:00,2007-11-02T14:00:00+00:00,1.44835,1.44604,1.44652,1.45251,51653.3666,-119.74888,0.516
EURUSD,sell,2007-12-06T13:00:00+00:00,2007-12-06T14:00:00+00:00,1.46017,1.46252,1.46203,1.47062,50082.5524,-117.53408,0.555
EURUSD,sell,2007-12-20T20:00:00+00:00,2007-12-20T21:00:00+00:00,1.43155,1.44392,1.43503,1.44349,22931.7651,-283.72650,0.505
EURUSD,sell,2007-12-21T14:00:00+00:00,2007-12-21T15:00:00+00:00,1.43753,1.43914,1.43866,1.43656,95863.7408,-154.62831,0.54
EURUSD,sell,2007-12-21T15:00:00+00:00,2007-12-21T16:00:00+00:00,1.43636,1.43564,1.43758,1.43521,82985.2348,59.61659,0.54
EURUSD,buy,2007-12-27T07:00:00+00:00,2007-12-27T08:00:00+00:00,1.45095,1.44794,1.44842,1.44524,31652.8715,-95.26451,0.505
EURUSD,sell,2008-02-07T15:00:00+00:00,2008-02-07T16:00:00+00:00,1.44975,1.47491,1.45390,1.47447,17574.6243,-442.13182,0.555
EURUSD,buy,2008-03-06T13:00:00+00:00,2008-03-06T14:00:00+00:00,1.53538,1.51850,1.52724,1.51896,7914.1326,-133.56020,0.555
EURUSD,sell,2008-03-20T14:00:00+00:00,2008-03-20T15:00:00+00:00,1.54256,1.57709,1.56008,1.57662,3484.4628,-120.33903,0.505
EURUSD,sell,2008-04-24T12:00:00+00:00,2008-04-24T13:00:00+00:00,1.57154,1.59961,1.57559,1.59913,16268.5882,-456.68110,0.555
EURUSD,buy,2008-05-15T07:00:00+00:00,2008-05-15T08:00:00+00:00,1.55231,1.53772,1.54696,1.53818,10998.9211,-160.44133,0.505
EURUSD,sell,2008-05-29T08:00:00+00:00,2008-05-29T09:00:00+00:00,1.55641,1.57290,1.56124,1.57243,11942.7343,-196.92127,0.505
EURUSD,buy,2008-06-13T19:00:00+00:00,2008-06-13T20:00:00+00:00,1.53643,1.53832,1.53408,1.53975,19881.3924,37.55906,0.65
EURUSD,buy,2008-06-13T19:00:00+00:00,2008-06-13T20:00:00+00:00,1.53643,1.53592,1.53643,1.53975,6627.1308,-3.38590,0.65
EURUSD,buy,2008-06-26T12:00:00+00:00,2008-06-26T13:00:00+00:00,1.57239,1.56013,1.56917,1.56060,18342.8511,-224.87888,0.505
EURUSD,sell,2008-07-24T08:00:00+00:00,2008-07-24T09:00:00+00:00,1.56614,1.57009,1.56957,1.57575,16281.7742,-64.32716,0.555
EURUSD,buy,2008-08-21T07:00:00+00:00,2008-08-21T08:00:00+00:00,1.47854,1.47980,1.47684,1.47170,28304.0358,35.64486,0.505
EURUSD,buy,2008-08-21T07:00:00+00:00,2008-08-21T08:00:00+00:00,1.47854,1.47805,1.47854,1.47170,9434.6786,-4.65647,0.505
EURUSD,buy,2008-09-03T13:00:00+00:00,2008-09-03T14:00:00+00:00,1.44755,1.44627,1.44675,1.44786,129353.1459,-166.62574,0.52
EURUSD,sell,2008-09-11T13:00:00+00:00,2008-09-11T14:00:00+00:00,1.38979,1.40153,1.39453,1.40111,10693.1497,-125.50973,0.505
EURUSD,buy,2008-09-11T14:00:00+00:00,2008-09-11T16:00:00+00:00,1.39258,1.39558,1.38916,1.39816,11234.8273,33.69156,0.6200000000000001
EURUSD,buy,2008-09-11T14:00:00+00:00,2008-09-11T16:00:00+00:00,1.39258,1.39211,1.39258,1.39816,3744.9424,-1.75173,0.6200000000000001
EURUSD,buy,2008-09-18T12:00:00+00:00,2008-09-18T13:00:00+00:00,1.44467,1.41252,1.43314,1.41294,4077.3610,-131.11633,0.505
EURUSD,sell,2008-10-02T17:00:00+00:00,2008-10-02T18:00:00+00:00,1.38289,1.42118,1.38550,1.42075,19976.1565,-764.91130,0.505
EURUSD,sell,2008-10-24T14:00:00+00:00,2008-10-24T17:00:00+00:00,1.27287,1.26378,1.28234,1.24941,2994.9201,27.23268,0.516
EURUSD,sell,2008-10-24T14:00:00+00:00,2008-10-24T18:00:00+00:00,1.27287,1.26459,1.26416,1.24941,998.3067,8.26474,0.516
EURUSD,sell,2008-12-05T13:00:00+00:00,2008-12-05T14:00:00+00:00,1.26622,1.26918,1.26875,1.25490,17048.0956,-50.47293,0.516
EURUSD,buy,2008-12-11T07:00:00+00:00,2008-12-11T08:00:00+00:00,1.31209,1.29306,1.30391,1.29345,4640.3949,-88.31388,0.505
EURUSD,buy,2008-12-18T13:00:00+00:00,2008-12-18T14:00:00+00:00,1.45830,1.44022,1.44070,1.41765,2055.1012,-37.15531,0.505
EURUSD,buy,2008-12-25T20:00:00+00:00,2008-12-25T21:00:00+00:00,1.40231,1.39839,1.40055,1.39881,26040.2867,-102.08339,0.505
EURUSD,sell,2008-12-26T19:00:00+00:00,2008-12-26T20:00:00+00:00,1.40618,1.40533,1.40745,1.40490,29888.0737,25.42005,0.65
EURUSD,sell,2008-12-26T19:00:00+00:00,2008-12-26T20:00:00+00:00,1.40618,1.40665,1.40618,1.40490,9962.6912,-4.70108,0.65
EURUSD,sell,2008-12-26T20:00:00+00:00,2008-12-26T21:00:00+00:00,1.40533,1.40498,1.40610,1.40505,73029.2999,25.58640,0.65
EURUSD,sell,2008-12-26T20:00:00+00:00,2008-12-26T21:00:00+00:00,1.40533,1.40580,1.40533,1.40505,24343.1000,-11.48053,0.65
EURUSD,sell,2009-01-07T19:00:00+00:00,2009-01-07T20:00:00+00:00,1.36094,1.36306,1.36260,1.35885,27377.1189,-57.96284,0.5700000000000001
EURUSD,sell,2009-02-05T20:00:00+00:00,2009-02-05T21:00:00+00:00,1.27927,1.29154,1.28440,1.29115,7082.4780,-86.91079,0.505
EURUSD,buy,2009-02-12T18:00:00+00:00,2009-02-12T19:00:00+00:00,1.28368,1.28403,1.28295,1.28400,70227.1338,24.55590,0.7
EURUSD,buy,2009-02-12T18:00:00+00:00,2009-02-12T19:00:00+00:00,1.28368,1.28325,1.28368,1.28400,23409.0446,-10.18505,0.7
EURUSD,buy,2009-03-06T13:00:00+00:00,2009-03-06T14:00:00+00:00,1.27298,1.27327,1.26410,1.27365,3872.5142,1.10802,0.516
EURUSD,buy,2009-03-19T17:00:00+00:00,2009-03-19T18:00:00+00:00,1.36416,1.32180,1.34730,1.32220,2001.6688,-84.78225,0.505
EURUSD,buy,2009-04-02T17:00:00+00:00,2009-04-02T18:00:00+00:00,1.34745,1.30516,1.34060,1.30555,4973.5858,-210.36169,0.505
EURUSD,buy,2009-04-09T07:00:00+00:00,2009-04-09T08:00:00+00:00,1.33180,1.32000,1.32595,1.32040,5500.1856,-64.87766,0.505
EURUSD,sell,2009-04-29T19:00:00+00:00,2009-04-30T00:00:00+00:00,1.32455,1.32840,1.32795,1.31895,9775.7450,-37.59639,0.7
EURUSD,buy,2009-04-30T08:00:00+00:00,2009-04-30T09:00:00+00:00,1.33395,1.32315,1.32645,1.32355,4077.6438,-44.02685,0.505
EURUSD,buy,2009-05-07T17:00:00+00:00,2009-05-07T18:00:00+00:00,1.33690,1.31760,1.33085,1.31800,5046.1952,-97.37315,0.505
EURUSD,buy,2009-07-02T17:00:00+00:00,2009-07-02T18:00:00+00:00,1.40284,1.40088,1.40135,1.40456,25735.7675,-50.47083,0.62
EURUSD,buy,2009-07-16T19:00:00+00:00,2009-07-16T20:00:00+00:00,1.41453,1.39696,1.40935,1.39738,5679.1099,-99.80154,0.505
EURUSD,buy,2009-08-13T13:00:00+00:00,2009-08-13T14:00:00+00:00,1.42774,1.41117,1.42387,1.41159,7568.1824,-125.41742,0.555
EURUSD,buy,2009-09-03T07:00:00+00:00,2009-09-03T08:00:00+00:00,1.42988,1.42328,1.42825,1.42371,20650.3111,-136.20838,0.505
EURUSD,sell,2009-09-09T18:00:00+00:00,2009-09-10T12:00:00+00:00,1.45381,1.46049,1.46000,1.44275,4072.7460,-27.18269,0.52
EURUSD,buy,2009-09-17T07:00:00+00:00,2009-09-17T08:00:00+00:00,1.47461,1.46812,1.47017,1.46856,5786.6157,-37.57145,0.505
EURUSD,sell,2009-10-06T17:00:00+00:00,2009-10-06T23:00:00+00:00,1.47076,1.47386,1.47337,1.46686,10493.4324,-32.56517,0.7
EURUSD,buy,2009-10-08T17:00:00+00:00,2009-10-08T18:00:00+00:00,1.47917,1.47175,1.47575,1.47219,7531.9116,-55.92652,0.505
EURUSD,sell,2009-10-13T18:00:00+00:00,2009-10-13T21:00:00+00:00,1.48179,1.48664,1.48614,1.47441,5597.3993,-27.15033,0.65
EURUSD,buy,2009-11-13T07:00:00+00:00,2009-11-13T14:00:00+00:00,1.48762,1.48431,1.48481,1.50495,9158.6135,-30.23789,0.516
EURUSD,buy,2009-11-24T09:00:00+00:00,2009-11-24T10:00:00+00:00,1.49416,1.49455,1.49332,1.49449,40984.5175,15.96815,0.64
EURUSD,buy,2009-11-24T09:00:00+00:00,2009-11-24T10:00:00+00:00,1.49416,1.49366,1.49416,1.49449,13661.5058,-6.80661,0.64
EURUSD,buy,2009-11-24T08:00:00+00:00,2009-11-24T12:00:00+00:00,1.49211,1.49538,1.48839,1.49820,4888.0617,15.97785,0.5900000000000001
EURUSD,buy,2009-11-24T08:00:00+00:00,2009-11-24T12:00:00+00:00,1.49211,1.49775,1.49211,1.49820,1629.3539,9.19451,0.5900000000000001
