trade_id,symbol,side,entry_time,exit_time,entry_price,exit_price,stop,target,size,pnl,r_multiple,confluence,duration_seconds,cumulative_pnl,equity_at_exit,drawdown,running_win_rate,running_profit_factor,running_sharpe
1,EURUSD,sell,2007-01-19T00:00:00+00:00,2007-01-19T04:00:00+00:00,1.29598,1.30020,1.29975,1.28971,29585.7988,-124.96577,-1.1207,0.8,14400.00,-124.96577,9875.03423,0.012497,0.000000,0.000000,-3.741657
2,EURUSD,buy,2007-02-16T14:00:00+00:00,2007-02-16T15:00:00+00:00,1.31229,1.31105,1.31151,1.31268,253206.0059,-314.62842,-1.5858,0.62,3600.00,-439.59419,9560.40581,0.043959,0.000000,0.000000,-3.011423
3,EURUSD,buy,2007-02-22T15:00:00+00:00,2007-02-22T16:00:00+00:00,1.31106,1.31243,1.30930,1.31341,52337.9880,71.66919,,0.52,3600.00,-367.92501,9624.06986,0.037593,0.333333,0.163035,-2.337427
4,EURUSD,buy,2007-02-22T15:00:00+00:00,2007-02-22T16:00:00+00:00,1.31106,1.31060,1.31106,1.31341,17445.9960,-8.00514,,0.52,3600.00,-375.93014,9624.06986,0.037593,0.250000,0.160119,-2.337427
5,EURUSD,buy,2007-02-23T09:00:00+00:00,2007-02-23T14:00:00+00:00,1.31143,1.31551,1.30696,1.31881,17691.3049,72.15469,,0.8,18000.00,-303.77545,9725.45464,0.027455,0.400000,0.321323,-1.567257
6,EURUSD,buy,2007-02-23T09:00:00+00:00,2007-02-23T15:00:00+00:00,1.31143,1.31561,1.31607,1.31881,5897.1016,24.62679,0.9007,0.8,21600.00,-279.14866,9720.85134,0.027915,0.500000,0.376343,-1.602495
7,EURUSD,buy,2007-03-09T14:00:00+00:00,2007-03-11T21:00:00+00:00,1.31010,1.31358,1.30623,1.31926,20950.1106,72.87957,,0.8,198000.00,-206.26909,9801.53194,0.019847,0.571429,0.539166,-0.963982
8,EURUSD,buy,2007-03-09T14:00:00+00:00,2007-03-11T22:00:00+00:00,1.31010,1.31037,1.31083,1.31926,6983.3702,1.87375,0.3690,0.8,201600.00,-204.39534,9795.60466,0.020440,0.625000,0.543352,-0.997999
9,EURUSD,sell,2007-04-06T04:00:00+00:00,2007-04-06T12:00:00+00:00,1.34120,1.33770,1.34510,1.33179,20990.5814,73.49414,,0.8,28800.00,-130.90119,9865.81421,0.013419,0.666667,0.707548,-0.520903
10,EURUSD,sell,2007-04-06T04:00:00+00:00,2007-04-06T12:00:00+00:00,1.34120,1.34167,1.34120,1.33179,6996.8605,-3.28460,,0.8,28800.00,-134.18579,9865.81421,0.013419,0.600000,0.702394,-0.520903
