trade_id,symbol,side,entry_time,exit_time,entry_price,exit_price,stop,target,size,pnl,r_multiple,confluence,duration_seconds,cumulative_pnl,equity_at_exit,drawdown,running_win_rate,running_profit_factor,running_sharpe
1,EURUSD,buy,2007-01-03T13:00:00+00:00,2007-01-03T14:00:00+00:00,1.32350,1.32236,1.32281,1.32951,344827.5862,-390.95103,-1.6505,,3600.00,-390.95103,9609.04897,0.039095,0.000000,0.000000,-11.224972
2,EURUSD,sell,2007-01-04T07:00:00+00:00,2007-01-04T08:00:00+00:00,1.31659,1.31637,1.31721,1.31461,327581.2147,72.16714,,,3600.00,-318.78389,9632.62561,0.036737,0.500000,0.184594,-8.399837
3,EURUSD,sell,2007-01-04T07:00:00+00:00,2007-01-04T08:00:00+00:00,1.31659,1.31704,1.31659,1.31461,109193.7382,-48.59050,,,3600.00,-367.37439,9632.62561,0.036737,0.333333,0.164187,-8.399837
4,EURUSD,sell,2007-01-04T14:00:00+00:00,2007-01-04T15:00:00+00:00,1.30819,1.31500,1.31721,1.31461,11161.7910,-76.08945,-0.7555,,3600.00,-443.46384,9552.09573,0.044790,0.250000,0.139959,-10.992546
5,EURUSD,sell,2007-01-04T15:00:00+00:00,2007-01-04T16:00:00+00:00,1.30837,1.31500,1.31721,1.31461,11309.5102,-75.06134,-0.7506,,3600.00,-518.52518,9481.47482,0.051853,0.200000,0.122174,-13.022054
6,EURUSD,sell,2007-01-04T18:00:00+00:00,2007-01-04T19:00:00+00:00,1.30875,1.31500,1.31004,1.31461,105349.7202,-659.18637,-4.8402,,3600.00,-1177.71155,8797.89755,0.120210,0.166667,0.057739,-14.090331
7,EURUSD,sell,2007-01-04T19:00:00+00:00,2007-01-04T20:00:00+00:00,1.30823,1.31500,1.31004,1.31461,62128.7919,-421.04490,-3.7388,,3600.00,-1598.75645,8401.24355,0.159876,0.142857,0.043190,-12.741129
8,EURUSD,sell,2007-01-06T07:00:00+00:00,2007-01-07T22:00:00+00:00,1.29956,1.30126,1.30082,1.29804,96566.0178,-164.18599,-1.3494,,140400.00,-1762.94243,6923.56968,0.307643,0.125000,0.039326,-14.086968
9,EURUSD,sell,2007-01-06T08:00:00+00:00,2007-01-07T22:00:00+00:00,1.29956,1.30126,1.30082,1.29804,96566.0178,-164.18599,-1.3494,,136800.00,-1927.12842,6923.56968,0.307643,0.111111,0.036096,-14.086968
10,EURUSD,sell,2007-01-06T09:00:00+00:00,2007-01-07T22:00:00+00:00,1.29956,1.30126,1.30082,1.29804,96566.0178,-164.18599,-1.3494,,133200.00,-2091.31441,6923.56968,0.307643,0.100000,0.033357,-14.086968
11,EURUSD,sell,2007-01-06T13:00:00+00:00,2007-01-07T22:00:00+00:00,1.29956,1.30126,1.30082,1.29804,96566.0178,-164.18599,-1.3494,,118800.00,-2255.50039,6923.56968,0.307643,0.090909,0.031004,-14.086968
12,EURUSD,sell,2007-01-06T14:00:00+00:00,2007-01-07T22:00:00+00:00,1.29956,1.30126,1.30082,1.29804,96566.0178,-164.18599,-1.3494,,115200.00,-2419.68638,6923.56968,0.307643,0.083333,0.028961,-14.086968
13,EURUSD,sell,2007-01-06T15:00:00+00:00,2007-01-07T22:00:00+00:00,1.29956,1.30126,1.30082,1.29804,96566.0178,-164.18599,-1.3494,,111600.00,-2583.87236,6923.56968,0.307643,0.076923,0.027171,-14.086968
14,EURUSD,sell,2007-01-06T18:00:00+00:00,2007-01-07T22:00:00+00:00,1.29956,1.30126,1.30082,1.29804,96566.0178,-164.18599,-1.3494,,100800.00,-2748.05835,6923.56968,0.307643,0.071429,0.025589,-14.086968
15,EURUSD,sell,2007-01-06T19:00:00+00:00,2007-01-07T22:00:00+00:00,1.29956,1.30126,1.30082,1.29804,96566.0178,-164.18599,-1.3494,,97200.00,-2912.24433,6923.56968,0.307643,0.066667,0.024181,-14.086968
16,EURUSD,sell,2007-01-06T20:00:00+00:00,2007-01-07T22:00:00+00:00,1.29956,1.30126,1.30082,1.29804,96566.0178,-164.18599,-1.3494,,93600.00,-3076.43032,6923.56968,0.307643,0.062500,0.022920,-14.086968
17,EURUSD,sell,2007-01-09T07:00:00+00:00,2007-01-09T08:00:00+00:00,1.30369,1.30305,1.30472,1.29722,81135.5822,51.96140,,,3600.00,-3024.46892,6934.01971,0.306598,0.117647,0.039423,-11.384911
18,EURUSD,sell,2007-01-09T07:00:00+00:00,2007-01-09T08:00:00+00:00,1.30369,1.30413,1.30369,1.29722,27045.1941,-11.93022,,,3600.00,-3036.39914,6934.01971,0.306598,0.111111,0.039275,-11.384911
19,EURUSD,sell,2007-01-09T08:00:00+00:00,2007-01-09T11:00:00+00:00,1.30232,1.30407,1.30363,1.29722,75691.3137,-132.60490,-1.3365,,10800.00,-3169.00404,6659.71312,0.334029,0.105263,0.037693,-13.151459
20,EURUSD,sell,2007-01-09T09:00:00+00:00,2007-01-09T11:00:00+00:00,1.30267,1.30407,1.30363,1.29722,122168.4361,-171.28284,-1.4590,,7200.00,-3340.28688,6659.71312,0.334029,0.100000,0.035830,-13.151459
21,EURUSD,sell,2007-01-09T13:00:00+00:00,2007-01-09T14:00:00+00:00,1.30106,1.30078,1.30173,1.29722,178385.1729,50.00462,,,3600.00,-3290.28226,6655.50663,0.334449,0.142857,0.050263,-13.173692
22,EURUSD,sell,2007-01-09T13:00:00+00:00,2007-01-09T14:00:00+00:00,1.30106,1.30150,1.30106,1.29722,59461.7243,-26.18295,,,3600.00,-3316.46521,6655.50663,0.334449,0.136364,0.049886,-13.173692
23,EURUSD,sell,2007-01-09T14:00:00+00:00,2007-01-09T17:00:00+00:00,1.29963,1.30139,1.30095,1.29722,71865.9655,-126.50609,-1.3336,,10800.00,-3442.97130,6435.78945,0.356421,0.130435,0.048142,-14.073248
24,EURUSD,sell,2007-01-09T15:00:00+00:00,2007-01-09T17:00:00+00:00,1.29954,1.30139,1.30095,1.29722,65524.8509,-121.23926,-1.3123,,7200.00,-3564.21055,6435.78945,0.356421,0.125000,0.046580,-14.073248
25,EURUSD,sell,2007-01-09T18:00:00+00:00,2007-01-09T20:00:00+00:00,1.30020,1.29984,1.30095,1.29722,134078.9468,48.31429,,,7200.00,-3515.89626,6432.72391,0.356728,0.160000,0.059504,-14.082021
26,EURUSD,sell,2007-01-09T18:00:00+00:00,2007-01-09T20:00:00+00:00,1.30020,1.30064,1.30020,1.29722,44692.9823,-19.66826,,,7200.00,-3535.56453,6432.72391,0.356728,0.153846,0.059193,-14.082021
27,EURUSD,sell,2007-01-09T19:00:00+00:00,2007-01-10T00:00:00+00:00,1.29945,1.29834,1.30095,1.29722,43485.0638,48.29308,,,18000.00,-3487.27145,6582.40902,0.341759,0.185185,0.072044,-12.728089
28,EURUSD,sell,2007-01-09T19:00:00+00:00,2007-01-10T00:00:00+00:00,1.29945,1.29761,1.29945,1.29722,14495.0213,26.68362,,,18000.00,-3460.58783,6582.40902,0.341759,0.214286,0.079144,-12.728089
29,EURUSD,sell,2007-01-09T20:00:00+00:00,2007-01-10T00:00:00+00:00,1.29927,1.29798,1.30095,1.29722,37583.9272,48.50660,,,14400.00,-3412.08122,6582.40902,0.341759,0.241379,0.092052,-12.728089
30,EURUSD,sell,2007-01-09T20:00:00+00:00,2007-01-10T00:00:00+00:00,1.29927,1.29971,1.29927,1.29722,12527.9757,-5.50975,,,14400.00,-3417.59098,6582.40902,0.341759,0.233333,0.091917,-12.728089
31,EURUSD,sell,2007-01-11T13:00:00+00:00,2007-01-11T14:00:00+00:00,1.29305,1.29233,1.29416,1.29261,68566.7607,49.39884,,,3600.00,-3368.19213,6607.21118,0.339279,0.258065,0.105042,-11.625977
32,EURUSD,sell,2007-01-11T13:00:00+00:00,2007-01-11T14:00:00+00:00,1.29305,1.29349,1.29305,1.29261,22855.5869,-10.00916,,,3600.00,-3378.20130,6607.21118,0.339279,0.250000,0.104764,-11.625977
33,EURUSD,sell,2007-01-11T14:00:00+00:00,2007-01-11T15:00:00+00:00,1.29201,1.29025,1.29416,1.29261,28217.8922,49.68495,,,3600.00,-3328.51634,6667.36743,0.333263,0.272727,0.117931,-11.201385
34,EURUSD,sell,2007-01-11T14:00:00+00:00,2007-01-11T15:00:00+00:00,1.29201,1.29245,1.29201,1.29261,9405.9641,-4.11623,,,3600.00,-3332.63257,6667.36743,0.333263,0.264706,0.117802,-11.201385
35,EURUSD,sell,2007-01-11T18:00:00+00:00,2007-01-11T19:00:00+00:00,1.28873,1.29300,1.29114,1.29261,33006.7695,-140.75800,-1.7719,,3600.00,-3473.39056,6516.47629,0.348352,0.257143,0.113570,-12.229896
36,EURUSD,sell,2007-01-11T19:00:00+00:00,2007-01-11T20:00:00+00:00,1.28826,1.29300,1.29114,1.29261,26211.2829,-124.09412,-1.6458,,3600.00,-3597.48468,6391.36352,0.360864,0.250000,0.110084,-12.962726
37,EURUSD,sell,2007-01-11T20:00:00+00:00,2007-01-11T21:00:00+00:00,1.28853,1.29300,1.29114,1.29261,28840.1591,-128.75571,-1.7127,,3600.00,-3726.24039,6273.75961,0.372624,0.243243,0.106686,-13.515732
38,EURUSD,buy,2007-01-12T14:00:00+00:00,2007-01-12T15:00:00+00:00,1.29331,1.29362,1.29261,1.30124,151784.5067,47.00376,,,3600.00,-3679.23663,6286.37534,0.371362,0.263158,0.117955,-12.475826
39,EURUSD,buy,2007-01-12T14:00:00+00:00,2007-01-12T15:00:00+00:00,1.29331,1.29287,1.29331,1.30124,50594.8356,-22.15939,,,3600.00,-3701.39603,6286.37534,0.371362,0.256410,0.117331,-12.475826
40,EURUSD,buy,2007-01-12T15:00:00+00:00,2007-01-12T16:00:00+00:00,1.29356,1.29228,1.29272,1.30124,139968.9772,-178.56570,-1.5225,,3600.00,-3879.96173,6137.12204,0.386288,0.250000,0.112539,-13.465590
41,EURUSD,buy,2007-01-12T20:00:00+00:00,2007-01-15T03:00:00+00:00,1.29189,1.29292,1.29047,1.30124,44563.3855,45.87616,,,198000.00,-3834.08557,6297.43711,0.370256,0.268293,0.123032,-9.679475
42,EURUSD,buy,2007-01-12T20:00:00+00:00,2007-01-15T04:00:00+00:00,1.29189,1.29252,1.29296,1.30124,14854.4618,9.42779,0.5917,,201600.00,-3824.65779,6303.46869,0.369653,0.285714,0.125189,-9.639931
43,EURUSD,buy,2007-01-12T13:00:00+00:00,2007-01-15T07:00:00+00:00,1.29159,1.29395,1.28884,1.30124,19937.7954,47.03445,,,237600.00,-3777.62334,6367.80917,0.363219,0.302326,0.135947,-9.213893
44,EURUSD,buy,2007-01-12T18:00:00+00:00,2007-01-15T07:00:00+00:00,1.29172,1.29421,1.28884,1.30124,18433.8502,45.88223,,,219600.00,-3731.74111,6367.80917,0.363219,0.318182,0.146441,-9.213893
45,EURUSD,buy,2007-01-12T19:00:00+00:00,2007-01-15T07:00:00+00:00,1.29177,1.29431,1.28884,1.30124,18070.9791,45.88232,,,216000.00,-3685.85879,6367.80917,0.363219,0.333333,0.156936,-9.213893
46,EURUSD,buy,2007-01-12T13:00:00+00:00,2007-01-15T08:00:00+00:00,1.29159,1.29254,1.29298,1.30124,6645.9318,6.34528,0.6856,,241200.00,-3679.51352,6330.22066,0.366978,0.347826,0.158387,-9.463615
47,EURUSD,buy,2007-01-12T18:00:00+00:00,2007-01-15T08:00:00+00:00,1.29172,1.29254,1.29298,1.30124,6144.6167,5.06760,0.6532,,223200.00,-3674.44591,6330.22066,0.366978,0.361702,0.159547,-9.463615
48,EURUSD,buy,2007-01-12T19:00:00+00:00,2007-01-15T08:00:00+00:00,1.29177,1.29254,1.29298,1.30124,6023.6597,4.66657,0.6389,,219600.00,-3669.77934,6330.22066,0.366978,0.375000,0.160614,-9.463615
