symbol,entry_time,exit_time,entry_price,exit_price,size,pnl,confluence
EURUSD,2003-05-06T03:00:00+00:00,2003-05-06T04:00:00+00:00,1.12790,1.12852,120967.7419,75.00000,
EURUSD,2003-05-06T03:00:00+00:00,2003-05-06T04:00:00+00:00,1.12790,1.12790,40322.5806,0.00000,
EURUSD,2003-05-06T04:00:00+00:00,2003-05-06T06:00:00+00:00,1.12851,1.12728,81910.5691,-100.75000,
EURUSD,2003-05-06T07:00:00+00:00,2003-05-06T08:00:00+00:00,1.12930,1.13137,36138.5870,74.80688,
EURUSD,2003-05-06T07:00:00+00:00,2003-05-06T08:00:00+00:00,1.12930,1.13344,12046.1957,49.87125,
EURUSD,2003-05-05T23:00:00+00:00,2003-05-06T12:00:00+00:00,1.12924,1.13642,10445.6825,75.00000,
EURUSD,2003-05-05T23:00:00+00:00,2003-05-06T13:00:00+00:00,1.12924,1.13295,3481.8942,12.91783,
EURUSD,2003-05-05T17:00:00+00:00,2003-05-06T19:00:00+00:00,1.12892,1.13742,8823.5294,75.00000,
EURUSD,2003-05-05T21:00:00+00:00,2003-05-06T19:00:00+00:00,1.12908,1.13699,9481.6688,75.00000,
EURUSD,2003-05-06T08:00:00+00:00,2003-05-06T19:00:00+00:00,1.13361,1.13999,11871.7807,75.74196,
EURUSD,2003-05-06T10:00:00+00:00,2003-05-06T19:00:00+00:00,1.13336,1.13949,12355.9480,75.74196,
EURUSD,2003-05-06T12:00:00+00:00,2003-05-06T19:00:00+00:00,1.13436,1.14149,10701.8879,76.30446,
EURUSD,2003-05-06T14:00:00+00:00,2003-05-06T19:00:00+00:00,1.13258,1.13793,14280.6252,76.40134,
EURUSD,2003-05-06T15:00:00+00:00,2003-05-06T19:00:00+00:00,1.13380,1.14037,11628.8196,76.40134,
EURUSD,2003-05-06T16:00:00+00:00,2003-05-06T19:00:00+00:00,1.13500,1.14232,10437.3422,76.40134,
EURUSD,2003-05-06T18:00:00+00:00,2003-05-06T19:00:00+00:00,1.13545,1.13987,17285.3721,76.40134,
EURUSD,2003-05-05T17:00:00+00:00,2003-05-06T20:00:00+00:00,1.12892,1.14073,2941.1765,34.73529,
EURUSD,2003-05-05T21:00:00+00:00,2003-05-06T20:00:00+00:00,1.12908,1.14073,3160.5563,36.82048,
EURUSD,2003-05-06T08:00:00+00:00,2003-05-06T20:00:00+00:00,1.13361,1.14073,3957.2602,28.17569,
