trade_id,symbol,side,entry_time,exit_time,entry_price,exit_price,stop,target,size,pnl,r_multiple,confluence,duration_seconds,cumulative_pnl,equity_at_exit,drawdown,running_win_rate,running_profit_factor,running_sharpe
1,EURUSD,buy,2003-05-15T14:00:00+00:00,2003-05-15T17:00:00+00:00,1.14590,1.14249,1.14249,1.15221,30864.1975,-105.30431,-1.0000,,10800.00,-105.30431,9762.30770,0.037010,0.000000,0.000000,-3.928874
2,EURUSD,buy,2003-05-08T19:00:00+00:00,2003-05-18T21:00:00+00:00,1.14983,1.16550,1.13416,1.18066,4838.7097,75.83443,,,871200.00,-29.46987,10102.99026,0.003404,0.500000,0.720146,1.365440
3,EURUSD,buy,2003-05-08T20:00:00+00:00,2003-05-18T21:00:00+00:00,1.15013,1.16560,1.13466,1.18056,4901.9608,75.84556,,,867600.00,46.37568,10102.99026,0.003404,0.666667,1.440397,1.365440
4,EURUSD,buy,2003-05-08T19:00:00+00:00,2003-05-18T22:00:00+00:00,1.14983,1.16631,1.16631,1.18066,1612.9032,26.57670,1.0000,,874800.00,72.95238,10099.38621,0.003759,0.750000,1.692777,1.327150
5,EURUSD,buy,2003-05-08T20:00:00+00:00,2003-05-18T22:00:00+00:00,1.15013,1.16631,1.16631,1.18056,1633.9869,26.43383,1.0000,,871200.00,99.38621,10099.38621,0.003759,0.800000,1.943800,1.327150
6,EURUSD,sell,2003-09-16T13:00:00+00:00,2003-09-16T17:00:00+00:00,1.12340,1.11560,1.13120,1.10831,9927.3128,77.41850,,,14400.00,176.80471,10117.20533,0.002001,0.833333,2.678988,0.555268
7,EURUSD,sell,2003-09-16T13:00:00+00:00,2003-09-16T18:00:00+00:00,1.12340,1.11763,1.11763,1.10831,3309.1043,19.09838,1.0000,,18000.00,195.90309,10115.87691,0.002132,0.857143,2.860352,0.549895
8,EURUSD,buy,2003-09-12T15:00:00+00:00,2003-09-21T22:00:00+00:00,1.13085,1.14841,1.11329,1.16546,4355.6870,76.48413,,,802800.00,272.38722,10298.53644,0.000000,0.875000,3.586667,1.239283
9,EURUSD,buy,2003-09-12T15:00:00+00:00,2003-09-21T23:00:00+00:00,1.13085,1.14457,1.14457,1.16546,1451.8957,19.92059,1.0000,,806400.00,292.30781,10292.30781,0.000605,0.888889,3.775839,1.218313
10,EURUSD,buy,2004-01-08T19:00:00+00:00,2004-01-15T18:00:00+00:00,1.27603,1.25679,1.25679,1.31394,5402.7863,-103.95704,-1.0000,,601200.00,188.35077,10188.35077,0.016589,0.800000,1.900074,0.671239
