symbol,side,entry_time,exit_time,entry_price,exit_price,stop,target,size,pnl,confluence
EURUSD,sell,2007-01-03T18:00:00+00:00,2007-01-04T07:00:00+00:00,1.31478,1.31825,1.31780,1.30991,38017.8988,-131.93147,
EURUSD,sell,2007-01-08T03:00:00+00:00,2007-01-08T08:00:00+00:00,1.29908,1.30251,1.30207,1.29427,37969.5897,-130.21354,
EURUSD,buy,2007-01-08T05:00:00+00:00,2007-01-08T13:00:00+00:00,1.30106,1.29763,1.29807,1.30587,37934.5589,-130.15145,
EURUSD,buy,2007-01-07T21:00:00+00:00,2007-01-08T14:00:00+00:00,1.30034,1.29691,1.29735,1.30515,37955.5696,-130.15250,
EURUSD,sell,2007-01-10T00:00:00+00:00,2007-01-10T07:00:00+00:00,1.29634,1.29976,1.29932,1.29154,36544.0417,-125.06435,
EURUSD,sell,2007-01-15T01:00:00+00:00,2007-01-15T07:00:00+00:00,1.29147,1.29488,1.29444,1.28669,36197.7563,-123.42082,
EURUSD,buy,2007-01-13T06:00:00+00:00,2007-01-16T07:00:00+00:00,1.29254,1.29512,1.28957,1.29732,27142.2243,70.11629,
EURUSD,buy,2007-01-15T03:00:00+00:00,2007-01-16T07:00:00+00:00,1.29357,1.29615,1.29059,1.29835,27120.6059,70.11629,
EURUSD,buy,2007-01-13T06:00:00+00:00,2007-01-16T08:00:00+00:00,1.29254,1.29475,1.29519,1.29732,9047.4081,20.02927,
EURUSD,buy,2007-01-15T03:00:00+00:00,2007-01-16T08:00:00+00:00,1.29357,1.29475,1.29519,1.29835,9040.2020,10.69912,
EURUSD,sell,2007-01-17T02:00:00+00:00,2007-01-18T02:00:00+00:00,1.29205,1.29546,1.29502,1.28727,36365.4284,-124.04737,
EURUSD,buy,2007-01-18T03:00:00+00:00,2007-01-18T09:00:00+00:00,1.29735,1.29393,1.29437,1.30215,35760.4687,-122.34739,
EURUSD,sell,2007-01-20T03:00:00+00:00,2007-01-22T03:00:00+00:00,1.29446,1.29788,1.29744,1.28967,35346.3031,-120.79252,
EURUSD,buy,2007-01-21T23:00:00+00:00,2007-01-22T12:00:00+00:00,1.29629,1.29287,1.29331,1.30108,35317.6638,-120.73511,
EURUSD,sell,2007-01-22T23:00:00+00:00,2007-01-23T07:00:00+00:00,1.29427,1.29769,1.29725,1.28948,34418.7063,-117.60555,
EURUSD,buy,2007-01-23T11:00:00+00:00,2007-01-24T08:00:00+00:00,1.30296,1.29952,1.29996,1.30778,33758.2584,-115.98951,
EURUSD,sell,2007-01-24T22:00:00+00:00,2007-01-25T07:00:00+00:00,1.29577,1.29919,1.29875,1.29098,33477.7705,-114.52105,
EURUSD,sell,2007-01-29T00:00:00+00:00,2007-01-29T14:00:00+00:00,1.28980,1.29321,1.29277,1.28503,33188.8651,-113.01748,
EURUSD,buy,2007-01-28T00:00:00+00:00,2007-01-29T17:00:00+00:00,1.29193,1.29451,1.28896,1.29671,24865.6305,64.20486,
EURUSD,buy,2007-01-28T00:00:00+00:00,2007-01-29T18:00:00+00:00,1.29193,1.29412,1.29456,1.29671,8288.5435,18.18660,
EURUSD,buy,2007-01-29T17:00:00+00:00,2007-01-31T09:00:00+00:00,1.29549,1.29207,1.29251,1.30028,32874.5879,-112.31498,
EURUSD,sell,2007-01-31T14:00:00+00:00,2007-01-31T15:00:00+00:00,1.29572,1.29914,1.29870,1.29093,32485.8514,-111.12366,
EURUSD,buy,2007-01-31T16:00:00+00:00,2007-01-31T19:00:00+00:00,1.29989,1.30249,1.29690,1.30470,23980.1569,62.30012,
EURUSD,buy,2007-01-31T16:00:00+00:00,2007-01-31T19:00:00+00:00,1.29989,1.29945,1.29989,1.30470,7993.3856,-3.51671,
EURUSD,sell,2007-02-02T15:00:00+00:00,2007-02-05T02:00:00+00:00,1.29688,1.29429,1.29986,1.29208,24191.3031,62.78978,
EURUSD,sell,2007-02-02T15:00:00+00:00,2007-02-05T03:00:00+00:00,1.29688,1.29497,1.29453,1.29208,8063.7677,15.42151,
EURUSD,buy,2007-02-04T17:00:00+00:00,2007-02-05T03:00:00+00:00,1.29619,1.29277,1.29321,1.30098,32291.6620,-110.38219,
EURUSD,buy,2007-02-04T21:00:00+00:00,2007-02-05T03:00:00+00:00,1.29619,1.29277,1.29321,1.30098,32291.6620,-110.38219,
EURUSD,sell,2007-02-04T19:00:00+00:00,2007-02-05T12:00:00+00:00,1.29541,1.29282,1.29839,1.29062,24218.7465,62.78978,
EURUSD,sell,2007-02-04T22:00:00+00:00,2007-02-05T12:00:00+00:00,1.29492,1.29233,1.29790,1.29013,24227.9082,62.78978,
EURUSD,sell,2007-02-04T19:00:00+00:00,2007-02-05T13:00:00+00:00,1.29541,1.29377,1.29333,1.29062,8072.9155,13.26579,
EURUSD,sell,2007-02-04T22:00:00+00:00,2007-02-05T13:00:00+00:00,1.29492,1.29377,1.29333,1.29013,8075.9694,9.31477,
EURUSD,buy,2007-02-06T19:00:00+00:00,2007-02-07T15:00:00+00:00,1.29820,1.30079,1.29521,1.30300,24197.4389,62.78286,
EURUSD,buy,2007-02-06T19:00:00+00:00,2007-02-07T16:00:00+00:00,1.29820,1.30055,1.30099,1.30300,8065.8130,18.95769,
EURUSD,sell,2007-02-09T19:00:00+00:00,2007-02-12T07:00:00+00:00,1.30003,1.30346,1.30302,1.29522,32512.7832,-111.58021,
EURUSD,buy,2007-02-11T07:00:00+00:00,2007-02-12T09:00:00+00:00,1.30086,1.29743,1.29787,1.30567,32511.5332,-111.52843,
EURUSD,sell,2007-02-12T11:00:00+00:00,2007-02-13T07:00:00+00:00,1.29509,1.29851,1.29807,1.29030,31775.6587,-108.64226,
EURUSD,buy,2007-02-13T18:00:00+00:00,2007-02-14T07:00:00+00:00,1.30302,1.30563,1.30002,1.30784,23388.1757,60.90852,
EURUSD,buy,2007-02-13T18:00:00+00:00,2007-02-14T07:00:00+00:00,1.30302,1.30258,1.30302,1.30784,7796.0586,-3.43721,
EURUSD,sell,2007-02-16T14:00:00+00:00,2007-02-18T22:00:00+00:00,1.31151,1.31497,1.31452,1.30665,31182.9222,-107.94724,
EURUSD,buy,2007-02-17T09:00:00+00:00,2007-02-20T02:00:00+00:00,1.31395,1.31658,1.31093,1.31881,23357.6363,61.33938,
EURUSD,buy,2007-02-17T09:00:00+00:00,2007-02-20T03:00:00+00:00,1.31395,1.31649,1.31694,1.31881,7785.8788,19.78287,
EURUSD,sell,2007-02-20T23:00:00+00:00,2007-02-21T13:00:00+00:00,1.31421,1.31158,1.31723,1.30934,23262.6373,61.18598,
EURUSD,sell,2007-02-20T23:00:00+00:00,2007-02-21T13:00:00+00:00,1.31421,1.31465,1.31421,1.30934,7754.2124,-3.44502,
EURUSD,buy,2007-02-23T12:00:00+00:00,2007-02-23T14:00:00+00:00,1.31296,1.31559,1.30994,1.31782,23463.5803,61.57116,
EURUSD,buy,2007-02-23T12:00:00+00:00,2007-02-23T14:00:00+00:00,1.31296,1.31252,1.31296,1.31782,7821.1934,-3.47163,
EURUSD,sell,2007-02-25T15:00:00+00:00,2007-02-26T00:00:00+00:00,1.31588,1.31935,1.31890,1.31100,31417.5307,-109.11644,
EURUSD,buy,2007-02-25T22:00:00+00:00,2007-02-27T08:00:00+00:00,1.31792,1.32055,1.31488,1.32279,23540.7924,62.00674,
EURUSD,buy,2007-02-25T22:00:00+00:00,2007-02-27T08:00:00+00:00,1.31792,1.31747,1.31792,1.32279,7846.9308,-3.49471,
EURUSD,sell,2007-03-01T15:00:00+00:00,2007-03-01T18:00:00+00:00,1.31582,1.31929,1.31884,1.31095,31226.7276,-108.44889,
EURUSD,buy,2007-03-03T08:00:00+00:00,2007-03-05T01:00:00+00:00,1.31922,1.31574,1.31618,1.32410,30753.7698,-106.96548,
EURUSD,sell,2007-03-04T17:00:00+00:00,2007-03-05T01:00:00+00:00,1.31842,1.31579,1.32146,1.31354,23065.3273,60.86176,
EURUSD,sell,2007-03-04T17:00:00+00:00,2007-03-05T01:00:00+00:00,1.31842,1.31394,1.31842,1.31354,7688.4424,34.48705,
EURUSD,buy,2007-03-04T21:00:00+00:00,2007-03-05T01:00:00+00:00,1.31922,1.31574,1.31618,1.32410,30753.7698,-106.96548,
EURUSD,sell,2007-03-05T00:00:00+00:00,2007-03-05T01:00:00+00:00,1.31686,1.31423,1.31989,1.31199,23092.6431,60.86176,
EURUSD,sell,2007-03-05T00:00:00+00:00,2007-03-05T01:00:00+00:00,1.31686,1.31731,1.31686,1.31199,7697.5477,-3.42598,
EURUSD,buy,2007-03-07T01:00:00+00:00,2007-03-07T18:00:00+00:00,1.31255,1.31518,1.30954,1.31741,23007.6485,60.35588,
EURUSD,buy,2007-03-07T01:00:00+00:00,2007-03-07T19:00:00+00:00,1.31255,1.31489,1.31533,1.31741,7669.2162,17.88283,
EURUSD,sell,2007-03-09T00:00:00+00:00,2007-03-09T13:00:00+00:00,1.31357,1.31094,1.31659,1.30870,23199.4211,60.99000,
