trade_id,symbol,side,entry_time,exit_time,entry_price,exit_price,stop,target,size,pnl,r_multiple,confluence,duration_seconds,cumulative_pnl,equity_at_exit,drawdown,running_win_rate,running_profit_factor,running_sharpe
1,EURUSD,sell,2007-01-03T18:00:00+00:00,2007-01-04T07:00:00+00:00,1.31478,1.31825,1.31780,1.30991,38017.8988,-131.93147,-1.1472,,46800.00,-131.93147,9868.06853,0.013193,0.000000,0.000000,-15.850673
2,EURUSD,sell,2007-01-08T03:00:00+00:00,2007-01-08T08:00:00+00:00,1.29908,1.30251,1.30207,1.29427,37969.5897,-130.21354,-1.1474,,18000.00,-262.14501,9815.26343,0.018474,0.000000,0.000000,-9.940365
3,EURUSD,buy,2007-01-08T05:00:00+00:00,2007-01-08T13:00:00+00:00,1.30106,1.29763,1.29807,1.30587,37934.5589,-130.15145,-1.1469,,28800.00,-392.29646,9502.56719,0.049743,0.000000,0.000000,-9.152689
4,EURUSD,buy,2007-01-07T21:00:00+00:00,2007-01-08T14:00:00+00:00,1.30034,1.29691,1.29735,1.30515,37955.5696,-130.15250,-1.1469,,61200.00,-522.44895,9477.55105,0.052245,0.000000,0.000000,-8.958537
5,EURUSD,sell,2007-01-10T00:00:00+00:00,2007-01-10T07:00:00+00:00,1.29634,1.29976,1.29932,1.29154,36544.0417,-125.06435,-1.1475,,25200.00,-647.51330,9352.48670,0.064751,0.000000,0.000000,-9.504467
6,EURUSD,sell,2007-01-15T01:00:00+00:00,2007-01-15T07:00:00+00:00,1.29147,1.29488,1.29444,1.28669,36197.7563,-123.42082,-1.1475,,21600.00,-770.93411,9336.68035,0.066332,0.000000,0.000000,-7.109197
7,EURUSD,buy,2007-01-13T06:00:00+00:00,2007-01-16T07:00:00+00:00,1.29254,1.29512,1.28957,1.29732,27142.2243,70.11629,,,262800.00,-700.81782,9424.05701,0.057594,0.142857,0.090950,-4.171089
8,EURUSD,buy,2007-01-15T03:00:00+00:00,2007-01-16T07:00:00+00:00,1.29357,1.29615,1.29059,1.29835,27120.6059,70.11629,,,100800.00,-630.70152,9424.05701,0.057594,0.250000,0.181900,-4.171089
9,EURUSD,buy,2007-01-13T06:00:00+00:00,2007-01-16T08:00:00+00:00,1.29254,1.29475,1.29519,1.29732,9047.4081,20.02927,0.8347,,266400.00,-610.67225,9400.02686,0.059997,0.333333,0.207880,-4.547371
10,EURUSD,buy,2007-01-15T03:00:00+00:00,2007-01-16T08:00:00+00:00,1.29357,1.29475,1.29519,1.29835,9040.2020,10.69912,0.7296,,104400.00,-599.97314,9400.02686,0.059997,0.400000,0.221758,-4.547371
11,EURUSD,sell,2007-01-17T02:00:00+00:00,2007-01-18T02:00:00+00:00,1.29205,1.29546,1.29502,1.28727,36365.4284,-124.04737,-1.1475,,86400.00,-724.02051,9275.97949,0.072402,0.363636,0.191022,-5.436716
12,EURUSD,buy,2007-01-18T03:00:00+00:00,2007-01-18T09:00:00+00:00,1.29735,1.29393,1.29437,1.30215,35760.4687,-122.34739,-1.1469,,21600.00,-846.36790,9153.63210,0.084637,0.333333,0.168049,-6.120255
13,EURUSD,sell,2007-01-20T03:00:00+00:00,2007-01-22T03:00:00+00:00,1.29446,1.29788,1.29744,1.28967,35346.3031,-120.79252,-1.1475,,172800.00,-967.16042,9064.66892,0.093533,0.307692,0.150213,-6.180994
14,EURUSD,buy,2007-01-21T23:00:00+00:00,2007-01-22T12:00:00+00:00,1.29629,1.29287,1.29331,1.30108,35317.6638,-120.73511,-1.1469,,46800.00,-1087.89553,8912.10447,0.108790,0.285714,0.135807,-7.025417
15,EURUSD,sell,2007-01-22T23:00:00+00:00,2007-01-23T07:00:00+00:00,1.29427,1.29769,1.29725,1.28948,34418.7063,-117.60555,-1.1475,,28800.00,-1205.50108,8794.49892,0.120550,0.266667,0.124203,-7.703566
16,EURUSD,buy,2007-01-23T11:00:00+00:00,2007-01-24T08:00:00+00:00,1.30296,1.29952,1.29996,1.30778,33758.2584,-115.98951,-1.1469,,75600.00,-1321.49059,8678.50941,0.132149,0.250000,0.114550,-8.280034
17,EURUSD,sell,2007-01-24T22:00:00+00:00,2007-01-25T07:00:00+00:00,1.29577,1.29919,1.29875,1.29098,33477.7705,-114.52105,-1.1475,,32400.00,-1436.01164,8563.98836,0.143601,0.235294,0.106387,-8.939592
18,EURUSD,sell,2007-01-29T00:00:00+00:00,2007-01-29T14:00:00+00:00,1.28980,1.29321,1.29277,1.28503,33188.8651,-113.01748,-1.1476,,50400.00,-1549.02912,8498.79704,0.150120,0.222222,0.099396,-7.980788
19,EURUSD,buy,2007-01-28T00:00:00+00:00,2007-01-29T17:00:00+00:00,1.29193,1.29451,1.28896,1.29671,24865.6305,64.20486,,,147600.00,-1484.82425,8528.69870,0.147130,0.263158,0.136725,-7.727355
20,EURUSD,buy,2007-01-28T00:00:00+00:00,2007-01-29T18:00:00+00:00,1.29193,1.29412,1.29456,1.29671,8288.5435,18.18660,0.8335,,151200.00,-1466.63766,8519.93209,0.148007,0.300000,0.147299,-7.804267
21,EURUSD,buy,2007-01-29T17:00:00+00:00,2007-01-31T09:00:00+00:00,1.29549,1.29207,1.29251,1.30028,32874.5879,-112.31498,-1.1470,,144000.00,-1578.95263,8421.04737,0.157895,0.285714,0.138270,-7.478509
22,EURUSD,sell,2007-01-31T14:00:00+00:00,2007-01-31T15:00:00+00:00,1.29572,1.29914,1.29870,1.29093,32485.8514,-111.12366,-1.1475,,3600.00,-1690.07629,8309.92371,0.169008,0.272727,0.130364,-7.662078
23,EURUSD,buy,2007-01-31T16:00:00+00:00,2007-01-31T19:00:00+00:00,1.29989,1.30249,1.29690,1.30470,23980.1569,62.30012,,,10800.00,-1627.77617,8368.70713,0.163129,0.304348,0.162420,-7.607964
24,EURUSD,buy,2007-01-31T16:00:00+00:00,2007-01-31T19:00:00+00:00,1.29989,1.29945,1.29989,1.30470,7993.3856,-3.51671,,,10800.00,-1631.29287,8368.70713,0.163129,0.291667,0.162127,-7.607964
25,EURUSD,sell,2007-02-02T15:00:00+00:00,2007-02-05T02:00:00+00:00,1.29688,1.29429,1.29986,1.29208,24191.3031,62.78978,,,212400.00,-1568.50309,8386.28521,0.161371,0.320000,0.194377,-6.798900
26,EURUSD,sell,2007-02-02T15:00:00+00:00,2007-02-05T03:00:00+00:00,1.29688,1.29497,1.29453,1.29208,8063.7677,15.42151,0.8135,,216000.00,-1553.08158,8331.20495,0.166880,0.346154,0.202298,-7.150237
27,EURUSD,buy,2007-02-04T17:00:00+00:00,2007-02-05T03:00:00+00:00,1.29619,1.29277,1.29321,1.30098,32291.6620,-110.38219,-1.1469,,36000.00,-1663.46377,8331.20495,0.166880,0.333333,0.191444,-7.150237
28,EURUSD,buy,2007-02-04T21:00:00+00:00,2007-02-05T03:00:00+00:00,1.29619,1.29277,1.29321,1.30098,32291.6620,-110.38219,-1.1469,,21600.00,-1773.84595,8331.20495,0.166880,0.321429,0.181696,-7.150237
29,EURUSD,sell,2007-02-04T19:00:00+00:00,2007-02-05T12:00:00+00:00,1.29541,1.29282,1.29839,1.29062,24218.7465,62.78978,,,61200.00,-1711.05617,8393.98373,0.160602,0.344828,0.210662,-6.744344
30,EURUSD,sell,2007-02-04T22:00:00+00:00,2007-02-05T12:00:00+00:00,1.29492,1.29233,1.29790,1.29013,24227.9082,62.78978,,,50400.00,-1648.26639,8393.98373,0.160602,0.366667,0.239628,-6.744344
31,EURUSD,sell,2007-02-04T19:00:00+00:00,2007-02-05T13:00:00+00:00,1.29541,1.29377,1.29333,1.29062,8072.9155,13.26579,0.7895,,64800.00,-1635.00060,8374.31417,0.162569,0.387097,0.245747,-6.881255
32,EURUSD,sell,2007-02-04T22:00:00+00:00,2007-02-05T13:00:00+00:00,1.29492,1.29377,1.29333,1.29013,8075.9694,9.31477,0.7248,,54000.00,-1625.68583,8374.31417,0.162569,0.406250,0.250045,-6.881255
