symbol,entry_time,exit_time,entry_price,exit_price,size,pnl,confluence
EURUSD,2003-05-05T00:00:00+00:00,2003-05-05T01:00:00+00:00,1.12258,1.12154,96153.8462,-100.00000,
EURUSD,2003-05-05T07:00:00+00:00,2003-05-05T10:00:00+00:00,1.12143,1.12272,57558.1395,74.25000,
EURUSD,2003-05-05T07:00:00+00:00,2003-05-05T10:00:00+00:00,1.12143,1.12143,19186.0465,0.00000,
EURUSD,2003-05-05T08:00:00+00:00,2003-05-05T11:00:00+00:00,1.12093,1.12314,44796.3801,-99.00000,
EURUSD,2003-05-05T01:00:00+00:00,2003-05-05T13:00:00+00:00,1.12140,1.12338,50000.0000,-99.00000,
EURUSD,2003-05-05T06:00:00+00:00,2003-05-05T13:00:00+00:00,1.12088,1.12338,39600.0000,-99.00000,
EURUSD,2003-05-05T10:00:00+00:00,2003-05-05T14:00:00+00:00,1.12213,1.12412,37591.3945,74.80688,
EURUSD,2003-05-05T10:00:00+00:00,2003-05-05T14:00:00+00:00,1.12213,1.12213,12530.4648,0.00000,
EURUSD,2003-05-05T13:00:00+00:00,2003-05-05T15:00:00+00:00,1.12284,1.12554,26881.2500,72.57937,
EURUSD,2003-05-05T13:00:00+00:00,2003-05-05T15:00:00+00:00,1.12284,1.12284,8960.4167,0.00000,
EURUSD,2003-05-05T14:00:00+00:00,2003-05-05T15:00:00+00:00,1.12420,1.12826,18014.8834,73.14043,
EURUSD,2003-05-05T14:00:00+00:00,2003-05-05T15:00:00+00:00,1.12420,1.12420,6004.9611,0.00000,
EURUSD,2003-05-06T03:00:00+00:00,2003-05-06T04:00:00+00:00,1.12790,1.12846,132559.5091,74.23333,
EURUSD,2003-05-06T03:00:00+00:00,2003-05-06T04:00:00+00:00,1.12790,1.12790,44186.5030,0.00000,
EURUSD,2003-05-05T21:00:00+00:00,2003-05-06T06:00:00+00:00,1.12908,1.12728,54987.6482,-98.97777,
EURUSD,2003-05-05T17:00:00+00:00,2003-05-06T08:00:00+00:00,1.12892,1.13153,28441.8870,74.23333,
EURUSD,2003-05-06T06:00:00+00:00,2003-05-06T08:00:00+00:00,1.12823,1.12994,57737.0306,-98.73032,
EURUSD,2003-05-06T07:00:00+00:00,2003-05-06T08:00:00+00:00,1.12930,1.13137,35771.8559,74.04774,
EURUSD,2003-05-06T07:00:00+00:00,2003-05-06T08:00:00+00:00,1.12930,1.13344,11923.9520,49.36516,
EURUSD,2003-05-05T17:00:00+00:00,2003-05-06T09:00:00+00:00,1.12892,1.13199,9480.6290,29.10553,
