symbol,side,entry_time,exit_time,entry_price,exit_price,stop,target,size,pnl,confluence
EURUSD,buy,2007-01-01T19:00:00+00:00,2007-01-02T00:00:00+00:00,1.31980,1.32243,1.31676,1.32468,28422.0100,74.97075,
EURUSD,buy,2007-01-01T19:00:00+00:00,2007-01-02T01:00:00+00:00,1.31980,1.32181,1.32226,1.32468,9474.0033,19.11396,
EURUSD,sell,2007-01-08T00:00:00+00:00,2007-01-08T07:00:00+00:00,1.29891,1.30234,1.30190,1.29410,38844.3189,-133.19618,
EURUSD,buy,2007-01-06T02:00:00+00:00,2007-01-08T14:00:00+00:00,1.30034,1.29691,1.29735,1.30515,38824.8960,-133.13348,
EURUSD,buy,2007-01-09T00:00:00+00:00,2007-01-09T11:00:00+00:00,1.30487,1.30143,1.30187,1.30970,37669.2439,-129.61423,
EURUSD,buy,2007-01-15T21:00:00+00:00,2007-01-16T07:00:00+00:00,1.29384,1.29642,1.29086,1.29862,28117.0730,72.70769,
EURUSD,buy,2007-01-15T21:00:00+00:00,2007-01-16T08:00:00+00:00,1.29384,1.29475,1.29519,1.29862,9372.3577,8.56093,
EURUSD,buy,2007-01-17T16:00:00+00:00,2007-01-18T12:00:00+00:00,1.29494,1.29152,1.29196,1.29973,37771.4628,-128.99099,
EURUSD,sell,2007-01-18T21:00:00+00:00,2007-01-19T02:00:00+00:00,1.29554,1.29896,1.29852,1.29075,37233.5637,-127.34663,
EURUSD,buy,2007-01-22T18:00:00+00:00,2007-01-23T08:00:00+00:00,1.29464,1.29723,1.29166,1.29943,27592.4430,71.39518,
EURUSD,buy,2007-01-22T18:00:00+00:00,2007-01-23T09:00:00+00:00,1.29464,1.29650,1.29694,1.29943,9197.4810,17.13176,
EURUSD,sell,2007-01-24T18:00:00+00:00,2007-01-25T07:00:00+00:00,1.29517,1.29859,1.29815,1.29038,37094.3791,-126.83489,
EURUSD,buy,2007-01-27T01:00:00+00:00,2007-01-29T17:00:00+00:00,1.29193,1.29451,1.28896,1.29671,27539.1118,71.10799,
EURUSD,buy,2007-01-27T01:00:00+00:00,2007-01-29T18:00:00+00:00,1.29193,1.29412,1.29456,1.29671,9179.7039,20.14197,
EURUSD,sell,2007-01-30T05:00:00+00:00,2007-01-31T15:00:00+00:00,1.29534,1.29876,1.29832,1.29055,36952.1961,-126.36507,
EURUSD,buy,2007-02-01T16:00:00+00:00,2007-02-02T13:00:00+00:00,1.30237,1.30497,1.29938,1.30719,27217.1484,70.84473,
EURUSD,buy,2007-02-01T16:00:00+00:00,2007-02-02T13:00:00+00:00,1.30237,1.30193,1.30237,1.30719,9072.3828,-3.99816,
EURUSD,buy,2007-02-05T22:00:00+00:00,2007-02-06T16:00:00+00:00,1.29324,1.29582,1.29026,1.29802,27603.2466,71.34588,
EURUSD,buy,2007-02-05T22:00:00+00:00,2007-02-06T17:00:00+00:00,1.29324,1.29527,1.29571,1.29802,9201.0822,18.70991,
EURUSD,buy,2007-02-08T11:00:00+00:00,2007-02-08T14:00:00+00:00,1.29927,1.30187,1.29628,1.30408,27735.1000,72.02103,
EURUSD,buy,2007-02-08T11:00:00+00:00,2007-02-08T15:00:00+00:00,1.29927,1.30072,1.30116,1.30408,9245.0333,13.40533,
EURUSD,sell,2007-02-11T08:00:00+00:00,2007-02-12T07:00:00+00:00,1.30008,1.30351,1.30307,1.29527,37263.3643,-127.88851,
EURUSD,buy,2007-02-20T12:00:00+00:00,2007-02-22T07:00:00+00:00,1.31417,1.31071,1.31115,1.31904,36399.1268,-126.12387,
EURUSD,buy,2007-02-24T12:00:00+00:00,2007-02-26T03:00:00+00:00,1.31666,1.31930,1.31364,1.32154,26888.3808,70.75713,
EURUSD,buy,2007-02-24T12:00:00+00:00,2007-02-26T04:00:00+00:00,1.31666,1.31805,1.31850,1.32154,8962.7936,12.45455,
EURUSD,buy,2007-02-28T08:00:00+00:00,2007-02-28T16:00:00+00:00,1.32018,1.32281,1.31714,1.32506,27053.3065,71.38098,
EURUSD,buy,2007-02-28T08:00:00+00:00,2007-02-28T17:00:00+00:00,1.32018,1.32090,1.32135,1.32506,9017.7688,6.56201,
EURUSD,buy,2007-03-01T14:00:00+00:00,2007-03-01T15:00:00+00:00,1.32141,1.31792,1.31837,1.32629,36332.5022,-126.57584,
EURUSD,buy,2007-03-06T15:00:00+00:00,2007-03-07T13:00:00+00:00,1.31096,1.31358,1.30795,1.31581,27104.2674,71.01637,
EURUSD,buy,2007-03-06T15:00:00+00:00,2007-03-07T14:00:00+00:00,1.31096,1.31261,1.31305,1.31581,9034.7558,14.84346,
EURUSD,sell,2007-03-09T00:00:00+00:00,2007-03-09T13:00:00+00:00,1.31357,1.31094,1.31659,1.30870,27279.3799,71.71599,
EURUSD,sell,2007-03-09T00:00:00+00:00,2007-03-09T13:00:00+00:00,1.31357,1.31401,1.31357,1.30870,9093.1266,-4.03812,
EURUSD,buy,2007-03-10T04:00:00+00:00,2007-03-12T09:00:00+00:00,1.31165,1.31427,1.30864,1.31651,27529.0988,72.16746,
EURUSD,buy,2007-03-10T04:00:00+00:00,2007-03-12T09:00:00+00:00,1.31165,1.31611,1.31165,1.31651,9176.3663,40.89641,
EURUSD,buy,2007-03-11T13:00:00+00:00,2007-03-12T09:00:00+00:00,1.31165,1.31427,1.30864,1.31651,27529.0988,72.16746,
EURUSD,buy,2007-03-11T13:00:00+00:00,2007-03-12T09:00:00+00:00,1.31165,1.31611,1.31165,1.31651,9176.3663,40.89641,
EURUSD,sell,2007-03-21T01:00:00+00:00,2007-03-21T18:00:00+00:00,1.33109,1.33460,1.33415,1.32616,36996.9333,-129.95868,
EURUSD,buy,2007-03-22T16:00:00+00:00,2007-03-23T09:00:00+00:00,1.33324,1.32973,1.33017,1.33817,36471.9346,-128.18314,
EURUSD,buy,2007-03-24T11:00:00+00:00,2007-03-26T07:00:00+00:00,1.32852,1.32502,1.32546,1.33343,36118.9784,-126.49950,
EURUSD,sell,2007-04-07T06:00:00+00:00,2007-04-09T16:00:00+00:00,1.33795,1.33527,1.34103,1.33300,26527.7245,71.03445,
EURUSD,sell,2007-04-07T06:00:00+00:00,2007-04-09T17:00:00+00:00,1.33795,1.33585,1.33540,1.33300,8842.5748,18.55048,
EURUSD,buy,2007-04-11T01:00:00+00:00,2007-04-12T01:00:00+00:00,1.34270,1.34539,1.33962,1.34767,26699.9356,71.65069,
EURUSD,buy,2007-04-11T01:00:00+00:00,2007-04-12T02:00:00+00:00,1.34270,1.34455,1.34500,1.34767,8899.9785,16.41000,
EURUSD,buy,2007-04-13T04:00:00+00:00,2007-04-13T10:00:00+00:00,1.35111,1.35381,1.34800,1.35610,26778.3751,72.31089,
EURUSD,buy,2007-04-13T04:00:00+00:00,2007-04-13T11:00:00+00:00,1.35111,1.35309,1.35355,1.35610,8926.1250,17.75174,
EURUSD,buy,2007-04-15T16:00:00+00:00,2007-04-15T21:00:00+00:00,1.35274,1.35544,1.34963,1.35774,26995.8413,72.98610,
EURUSD,buy,2007-04-15T16:00:00+00:00,2007-04-15T21:00:00+00:00,1.35274,1.35228,1.35274,1.35774,8998.6138,-4.10162,
EURUSD,sell,2007-04-20T05:00:00+00:00,2007-04-23T06:00:00+00:00,1.36079,1.35807,1.36392,1.35576,27009.6994,73.55988,
EURUSD,sell,2007-04-20T05:00:00+00:00,2007-04-23T07:00:00+00:00,1.36079,1.35896,1.35850,1.35576,9003.2331,16.51260,
EURUSD,sell,2007-04-21T20:00:00+00:00,2007-04-23T11:00:00+00:00,1.35812,1.35540,1.36125,1.35310,27062.7832,73.55988,
EURUSD,sell,2007-04-21T20:00:00+00:00,2007-04-23T12:00:00+00:00,1.35812,1.35661,1.35615,1.35310,9020.9277,13.67195,
EURUSD,buy,2007-04-25T18:00:00+00:00,2007-04-26T09:00:00+00:00,1.36456,1.36096,1.36142,1.36961,36584.9250,-131.55780,
EURUSD,buy,2007-04-29T06:00:00+00:00,2007-04-29T21:00:00+00:00,1.36582,1.36222,1.36268,1.37087,36069.4124,-129.82217,
EURUSD,buy,2007-04-30T12:00:00+00:00,2007-04-30T15:00:00+00:00,1.36272,1.36544,1.35959,1.36776,26756.2590,72.87221,
EURUSD,buy,2007-04-30T12:00:00+00:00,2007-04-30T15:00:00+00:00,1.36272,1.36735,1.36272,1.36776,8918.7530,41.29578,
EURUSD,buy,2007-05-01T12:00:00+00:00,2007-05-01T14:00:00+00:00,1.36591,1.36231,1.36277,1.37096,36009.7147,-129.61573,
EURUSD,buy,2007-05-02T14:00:00+00:00,2007-05-03T14:00:00+00:00,1.35981,1.35622,1.35668,1.36484,35694.5614,-127.91536,
EURUSD,sell,2007-05-04T15:00:00+00:00,2007-05-07T10:00:00+00:00,1.35814,1.36173,1.36127,1.35312,35246.1153,-126.28895,
EURUSD,sell,2007-05-08T09:00:00+00:00,2007-05-08T14:00:00+00:00,1.35690,1.35419,1.36002,1.35188,26109.8231,70.90589,
EURUSD,sell,2007-05-08T09:00:00+00:00,2007-05-08T14:00:00+00:00,1.35690,1.35229,1.35690,1.35188,8703.2744,40.17852,
EURUSD,sell,2007-05-13T20:00:00+00:00,2007-05-14T03:00:00+00:00,1.35165,1.35522,1.35476,1.34665,35359.0723,-126.09690,
EURUSD,sell,2007-05-18T18:00:00+00:00,2007-05-21T10:00:00+00:00,1.34999,1.34729,1.35310,1.34500,26201.7381,70.79325,
EURUSD,sell,2007-05-18T18:00:00+00:00,2007-05-21T10:00:00+00:00,1.34999,1.34540,1.34999,1.34500,8733.9127,40.11469,
EURUSD,buy,2007-05-23T10:00:00+00:00,2007-05-23T11:00:00+00:00,1.34593,1.34862,1.34284,1.35091,26605.6735,71.56954,
EURUSD,buy,2007-05-23T10:00:00+00:00,2007-05-23T11:00:00+00:00,1.34593,1.34548,1.34593,1.35091,8868.5578,-4.02424,
EURUSD,buy,2007-05-25T11:00:00+00:00,2007-05-25T14:00:00+00:00,1.34395,1.34664,1.34086,1.34892,26833.4091,72.07593,
EURUSD,buy,2007-05-25T11:00:00+00:00,2007-05-25T15:00:00+00:00,1.34395,1.34424,1.34469,1.34892,8944.4697,2.53614,
