trade_id,symbol,side,entry_time,exit_time,entry_price,exit_price,stop,target,size,pnl,r_multiple,confluence,duration_seconds,cumulative_pnl,equity_at_exit,drawdown,running_win_rate,running_profit_factor,running_sharpe
1,EURUSD,buy,2007-01-01T19:00:00+00:00,2007-01-02T00:00:00+00:00,1.31980,1.32243,1.31676,1.32468,28422.0100,74.97075,,,18000.00,74.97075,10108.07462,0.000000,1.000000,0.000000,15.874508
2,EURUSD,buy,2007-01-01T19:00:00+00:00,2007-01-02T01:00:00+00:00,1.31980,1.32181,1.32226,1.32468,9474.0033,19.11396,0.8187,,21600.00,94.08471,10094.08471,0.001384,1.000000,0.000000,9.321246
3,EURUSD,sell,2007-01-08T00:00:00+00:00,2007-01-08T07:00:00+00:00,1.29891,1.30234,1.30190,1.29410,38844.3189,-133.19618,-1.1474,,25200.00,-39.11147,9951.95939,0.015821,0.666667,0.706362,-2.436065
4,EURUSD,buy,2007-01-06T02:00:00+00:00,2007-01-08T14:00:00+00:00,1.30034,1.29691,1.29735,1.30515,38824.8960,-133.13348,-1.1469,,216000.00,-172.24495,9827.75505,0.028104,0.500000,0.353264,-4.509208
5,EURUSD,buy,2007-01-09T00:00:00+00:00,2007-01-09T11:00:00+00:00,1.30487,1.30143,1.30187,1.30970,37669.2439,-129.61423,-1.1468,,39600.00,-301.85918,9698.14082,0.040922,0.400000,0.237621,-6.613578
6,EURUSD,buy,2007-01-15T21:00:00+00:00,2007-01-16T07:00:00+00:00,1.29384,1.29642,1.29086,1.29862,28117.0730,72.70769,,,36000.00,-229.15149,9791.86101,0.031654,0.500000,0.421253,-2.328158
7,EURUSD,buy,2007-01-15T21:00:00+00:00,2007-01-16T08:00:00+00:00,1.29384,1.29475,1.29519,1.29862,9372.3577,8.56093,0.6756,,39600.00,-220.59056,9779.40944,0.032885,0.571429,0.442874,-2.568243
8,EURUSD,buy,2007-01-17T16:00:00+00:00,2007-01-18T12:00:00+00:00,1.29494,1.29152,1.29196,1.29973,37771.4628,-128.99099,-1.1470,,72000.00,-349.58156,9650.41844,0.045642,0.500000,0.334048,-3.929476
9,EURUSD,sell,2007-01-18T21:00:00+00:00,2007-01-19T02:00:00+00:00,1.29554,1.29896,1.29852,1.29075,37233.5637,-127.34663,-1.1475,,18000.00,-476.92818,9523.07182,0.058235,0.444444,0.268831,-5.020128
10,EURUSD,buy,2007-01-22T18:00:00+00:00,2007-01-23T08:00:00+00:00,1.29464,1.29723,1.29166,1.29943,27592.4430,71.39518,,,50400.00,-405.53300,9617.29262,0.048918,0.500000,0.378285,-2.890105
11,EURUSD,buy,2007-01-22T18:00:00+00:00,2007-01-23T09:00:00+00:00,1.29464,1.29650,1.29694,1.29943,9197.4810,17.13176,0.8092,,54000.00,-388.40124,9611.59876,0.049481,0.545455,0.404550,-2.970415
12,EURUSD,sell,2007-01-24T18:00:00+00:00,2007-01-25T07:00:00+00:00,1.29517,1.29859,1.29815,1.29038,37094.3791,-126.83489,-1.1475,,46800.00,-515.23613,9484.76387,0.062024,0.500000,0.338692,-4.180548
13,EURUSD,buy,2007-01-27T01:00:00+00:00,2007-01-29T17:00:00+00:00,1.29193,1.29451,1.28896,1.29671,27539.1118,71.10799,,,230400.00,-444.12815,9584.99481,0.052112,0.538462,0.429959,-2.136519
14,EURUSD,buy,2007-01-27T01:00:00+00:00,2007-01-29T18:00:00+00:00,1.29193,1.29412,1.29456,1.29671,9179.7039,20.14197,0.8335,,234000.00,-423.98618,9576.01382,0.053000,0.571429,0.455812,-2.230390
15,EURUSD,sell,2007-01-30T05:00:00+00:00,2007-01-31T15:00:00+00:00,1.29534,1.29876,1.29832,1.29055,36952.1961,-126.36507,-1.1475,,122400.00,-550.35125,9449.64875,0.065496,0.533333,0.392200,-3.096617
16,EURUSD,buy,2007-02-01T16:00:00+00:00,2007-02-02T13:00:00+00:00,1.30237,1.30497,1.29938,1.30719,27217.1484,70.84473,,,75600.00,-479.50652,9516.49531,0.058886,0.562500,0.470440,-2.591305
17,EURUSD,buy,2007-02-01T16:00:00+00:00,2007-02-02T13:00:00+00:00,1.30237,1.30193,1.30237,1.30719,9072.3828,-3.99816,,,75600.00,-483.50469,9516.49531,0.058886,0.529412,0.468372,-2.591305
18,EURUSD,buy,2007-02-05T22:00:00+00:00,2007-02-06T16:00:00+00:00,1.29324,1.29582,1.29026,1.29802,27603.2466,71.34588,,,64800.00,-412.15881,9618.86857,0.048762,0.555556,0.546819,-1.680765
19,EURUSD,buy,2007-02-05T22:00:00+00:00,2007-02-06T17:00:00+00:00,1.29324,1.29527,1.29571,1.29802,9201.0822,18.70991,0.8225,,68400.00,-393.44890,9606.55110,0.049980,0.578947,0.567391,-1.770904
20,EURUSD,buy,2007-02-08T11:00:00+00:00,2007-02-08T14:00:00+00:00,1.29927,1.30187,1.29628,1.30408,27735.1000,72.02103,,,10800.00,-321.42786,9698.26717,0.040910,0.600000,0.646580,-1.141768
21,EURUSD,buy,2007-02-08T11:00:00+00:00,2007-02-08T15:00:00+00:00,1.29927,1.30072,1.30116,1.30408,9245.0333,13.40533,0.7671,,14400.00,-308.02254,9691.97746,0.041532,0.619048,0.661320,-1.182391
22,EURUSD,sell,2007-02-11T08:00:00+00:00,2007-02-12T07:00:00+00:00,1.30008,1.30351,1.30307,1.29527,37263.3643,-127.88851,-1.1474,,82800.00,-435.91105,9564.08895,0.054179,0.590909,0.579791,-1.862613
23,EURUSD,buy,2007-02-20T12:00:00+00:00,2007-02-22T07:00:00+00:00,1.31417,1.31071,1.31115,1.31904,36399.1268,-126.12387,-1.1467,,154800.00,-562.03492,9437.96508,0.066652,0.565217,0.516941,-2.224150
24,EURUSD,buy,2007-02-24T12:00:00+00:00,2007-02-26T03:00:00+00:00,1.31666,1.31930,1.31364,1.32154,26888.3808,70.75713,,,140400.00,-491.27779,9528.03810,0.057744,0.583333,0.577756,-1.804594
