trade_id,symbol,side,entry_time,exit_time,entry_price,exit_price,stop,target,size,pnl,r_multiple,confluence,duration_seconds,cumulative_pnl,equity_at_exit,drawdown,running_win_rate,running_profit_factor,running_sharpe
1,EURUSD,sell,2003-08-06T00:00:00+00:00,2003-08-06T02:00:00+00:00,1.13813,1.13969,1.13969,1.13552,71942.4460,-112.28381,-1.0000,0.7,7200.00,-112.28381,9887.71619,0.011228,0.000000,0.000000,-1.925067
2,EURUSD,sell,2003-08-27T00:00:00+00:00,2003-08-27T11:00:00+00:00,1.08574,1.09169,1.09169,1.07432,17077.2300,-101.65879,-1.0000,0.85,39600.00,-213.94260,9786.05740,0.021394,0.000000,0.000000,-2.393172
3,EURUSD,buy,2003-09-10T00:00:00+00:00,2003-09-21T21:00:00+00:00,1.12195,1.13942,1.10448,1.15638,4242.5104,74.10931,,0.85,1026000.00,-139.83329,9892.31324,0.010769,0.333333,0.346398,-0.654597
4,EURUSD,buy,2003-09-10T00:00:00+00:00,2003-09-21T22:00:00+00:00,1.12195,1.14457,1.14457,1.15638,1414.1701,31.99098,1.0000,0.85,1029600.00,-107.84231,9892.15769,0.010784,0.500000,0.495929,-0.655795
5,EURUSD,sell,2003-11-05T00:00:00+00:00,2003-11-12T15:00:00+00:00,1.14671,1.16177,1.16177,1.11710,6643.4907,-100.06447,-1.0000,0.85,658800.00,-207.90678,9792.09322,0.020791,0.400000,0.337891,-0.867479
6,EURUSD,buy,2003-11-19T00:00:00+00:00,2003-12-08T13:00:00+00:00,1.19753,1.22272,1.17234,1.24737,2936.4534,73.96809,,0.95,1688400.00,-133.93869,9987.86496,0.001214,0.500000,0.573453,0.174671
7,EURUSD,buy,2003-12-03T00:00:00+00:00,2003-12-08T13:00:00+00:00,1.20843,1.22332,1.19354,1.23767,4992.5696,74.34554,,0.7,478800.00,-59.59315,9987.86496,0.001214,0.571429,0.810217,0.174671
8,EURUSD,buy,2003-11-19T00:00:00+00:00,2003-12-08T14:00:00+00:00,1.19753,1.21997,1.21997,1.24737,978.8178,21.96506,1.0000,0.95,1692000.00,-37.62809,9981.57460,0.001843,0.625000,0.880168,0.150300
9,EURUSD,buy,2003-12-03T00:00:00+00:00,2003-12-08T14:00:00+00:00,1.20843,1.21997,1.21997,1.23767,1664.1899,19.20269,1.0000,0.7,482400.00,-18.42540,9981.57460,0.001843,0.666667,0.941322,0.150300
10,EURUSD,buy,2003-12-10T00:00:00+00:00,2003-12-11T08:00:00+00:00,1.22357,1.21466,1.21466,1.24085,11433.6479,-101.91392,-1.0000,0.95,115200.00,-120.33932,9879.66068,0.012034,0.600000,0.710668,-0.232107
