symbol,side,entry_time,exit_time,entry_price,exit_price,stop,target,size,pnl,confluence
EURUSD,sell,2003-08-06T00:00:00+00:00,2003-08-06T02:00:00+00:00,1.13813,1.13969,1.13969,1.13552,71942.4460,-112.28381,0.7
EURUSD,sell,2003-08-27T00:00:00+00:00,2003-08-27T11:00:00+00:00,1.08574,1.09169,1.09169,1.07432,17077.2300,-101.65879,0.85
EURUSD,buy,2003-09-10T00:00:00+00:00,2003-09-29T15:00:00+00:00,1.12195,1.15638,1.10448,1.15638,5656.6806,194.76932,0.85
EURUSD,sell,2003-11-05T00:00:00+00:00,2003-11-12T15:00:00+00:00,1.14671,1.16177,1.16177,1.11710,6703.0401,-100.96140,0.85
EURUSD,buy,2003-12-10T00:00:00+00:00,2003-12-11T08:00:00+00:00,1.22357,1.21466,1.21466,1.24085,11317.1424,-100.87544,0.95
EURUSD,buy,2003-12-03T00:00:00+00:00,2003-12-17T13:00:00+00:00,1.20843,1.23767,1.19354,1.23767,6716.4278,196.38004,0.7
EURUSD,buy,2003-11-19T00:00:00+00:00,2003-12-29T08:00:00+00:00,1.19753,1.24737,1.17234,1.24737,3950.3660,196.88781,0.95
EURUSD,sell,2004-03-17T00:00:00+00:00,2004-03-18T15:00:00+00:00,1.22522,1.23695,1.23695,1.20230,8807.1495,-103.34142,0.95
EURUSD,sell,2004-03-31T00:00:00+00:00,2004-03-31T02:00:00+00:00,1.21873,1.22263,1.22263,1.21147,27066.9793,-105.63799,0.95
EURUSD,buy,2004-06-03T00:00:00+00:00,2004-06-04T12:00:00+00:00,1.22102,1.21543,1.21543,1.23166,18416.4109,-103.00531,0.7999999999999999
EURUSD,sell,2004-06-16T00:00:00+00:00,2004-06-16T08:00:00+00:00,1.21490,1.21136,1.21694,1.21136,53012.2204,187.54335,0.7
EURUSD,buy,2004-07-14T00:00:00+00:00,2004-07-14T11:00:00+00:00,1.23280,1.23828,1.22979,1.23828,35504.6514,194.39177,0.85
EURUSD,buy,2004-07-21T00:00:00+00:00,2004-07-21T02:00:00+00:00,1.23150,1.22981,1.22981,1.23434,67829.1928,-114.95000,0.85
EURUSD,sell,2004-07-28T00:00:00+00:00,2004-08-06T12:00:00+00:00,1.20532,1.21890,1.21890,1.17870,7557.6553,-102.63919,0.85
EURUSD,sell,2004-08-04T00:00:00+00:00,2004-08-06T12:00:00+00:00,1.20496,1.20928,1.20928,1.19686,24461.9761,-105.69460,0.95
EURUSD,buy,2004-08-11T00:00:00+00:00,2004-08-11T08:00:00+00:00,1.22319,1.22191,1.22191,1.22521,90172.0392,-115.73144,0.95
EURUSD,buy,2004-09-15T00:00:00+00:00,2004-09-15T07:00:00+00:00,1.22451,1.22215,1.22215,1.22869,44968.7747,-106.29042,0.95
EURUSD,sell,2004-08-25T00:00:00+00:00,2004-09-21T18:00:00+00:00,1.20601,1.23140,1.23140,1.15577,3888.6128,-98.73549,0.85
EURUSD,buy,2004-09-09T00:00:00+00:00,2004-10-15T12:00:00+00:00,1.21861,1.24631,1.20449,1.24631,7032.4196,194.77858,0.8999999999999999
EURUSD,buy,2004-10-20T00:00:00+00:00,2004-10-21T08:00:00+00:00,1.25127,1.26348,1.24488,1.26348,15795.0735,192.89478,0.85
EURUSD,buy,2004-11-10T00:00:00+00:00,2004-11-10T07:00:00+00:00,1.28951,1.28842,1.28842,1.29112,110953.7814,-121.31664,0.7
EURUSD,buy,2004-12-08T00:00:00+00:00,2004-12-08T04:00:00+00:00,1.34196,1.33862,1.33862,1.34804,31415.6805,-104.96808,0.95
EURUSD,sell,2005-01-12T00:00:00+00:00,2005-01-12T13:00:00+00:00,1.31009,1.31690,1.31690,1.29707,14764.8345,-100.49749,0.85
EURUSD,sell,2005-02-09T00:00:00+00:00,2005-02-10T14:00:00+00:00,1.27628,1.28627,1.28627,1.25687,9856.1817,-98.47775,0.95
EURUSD,buy,2005-02-16T00:00:00+00:00,2005-02-22T19:00:00+00:00,1.30066,1.32586,1.28776,1.32586,7528.0160,189.74312,0.95
EURUSD,buy,2005-03-16T00:00:00+00:00,2005-03-16T02:00:00+00:00,1.33111,1.32900,1.32900,1.33473,51048.8141,-107.69444,0.95
EURUSD,buy,2005-02-24T00:00:00+00:00,2005-03-23T09:00:00+00:00,1.32131,1.30303,1.30303,1.35727,5392.8780,-98.57192,0.7999999999999999
EURUSD,sell,2005-03-30T00:00:00+00:00,2005-03-30T04:00:00+00:00,1.29259,1.29549,1.29549,1.28736,35217.9230,-102.26993,0.85
EURUSD,buy,2005-04-13T00:00:00+00:00,2005-04-13T13:00:00+00:00,1.29061,1.28496,1.28496,1.30134,17292.6505,-97.76509,0.95
EURUSD,sell,2005-05-04T00:00:00+00:00,2005-05-04T01:00:00+00:00,1.28831,1.29111,1.29111,1.28328,35800.8510,-100.35963,0.85
EURUSD,buy,2005-06-22T00:00:00+00:00,2005-06-23T12:00:00+00:00,1.21707,1.20682,1.20682,1.23703,9179.4066,-94.11217,0.85
EURUSD,buy,2005-07-13T00:00:00+00:00,2005-07-19T12:00:00+00:00,1.22120,1.19551,1.19551,1.27204,3586.6524,-92.15241,0.95
EURUSD,buy,2005-08-03T00:00:00+00:00,2005-08-03T09:00:00+00:00,1.21661,1.22543,1.21193,1.22543,20127.5509,177.47539,0.85
EURUSD,buy,2005-09-07T00:00:00+00:00,2005-09-07T02:00:00+00:00,1.24607,1.24422,1.24422,1.24920,55631.7668,-102.74531,0.7
EURUSD,sell,2005-09-21T00:00:00+00:00,2005-09-21T04:00:00+00:00,1.21314,1.21897,1.21897,1.20202,16163.0584,-94.26292,0.85
EURUSD,sell,2005-09-14T00:00:00+00:00,2005-09-26T00:00:00+00:00,1.22785,1.20151,1.24129,1.20151,6886.9743,181.37395,0.7
EURUSD,buy,2005-10-12T01:00:00+00:00,2005-10-12T06:00:00+00:00,1.19689,1.19604,1.19604,1.19805,137600.5821,-116.89259,0.8999999999999999
EURUSD,buy,2005-10-19T00:00:00+00:00,2005-10-19T06:00:00+00:00,1.19431,1.19149,1.19149,1.19941,34478.5849,-97.19925,0.85
EURUSD,buy,2006-01-11T00:00:00+00:00,2006-01-11T14:00:00+00:00,1.20593,1.21009,1.20358,1.21009,41498.3740,172.59744,0.95
EURUSD,buy,2006-01-18T00:00:00+00:00,2006-01-20T08:00:00+00:00,1.20935,1.20502,1.20502,1.21747,22115.0472,-95.78857,0.85
EURUSD,sell,2006-02-01T00:00:00+00:00,2006-02-01T19:00:00+00:00,1.21406,1.20512,1.21880,1.20512,19916.5702,178.01160,0.95
EURUSD,sell,2006-03-01T00:00:00+00:00,2006-03-01T01:00:00+00:00,1.19340,1.19399,1.19399,1.19276,225852.8690,-133.03570,0.85
EURUSD,buy,2006-03-09T00:00:00+00:00,2006-03-10T14:00:00+00:00,1.19367,1.18669,1.18669,1.20709,13421.9587,-93.67217,0.7999999999999999
EURUSD,sell,2006-03-29T00:00:00+00:00,2006-03-30T14:00:00+00:00,1.19942,1.21046,1.21046,1.17788,8317.9188,-91.82932,0.85
EURUSD,buy,2006-04-05T00:00:00+00:00,2006-05-01T12:00:00+00:00,1.22469,1.26693,1.20330,1.26693,4215.6673,178.05429,0.85
EURUSD,buy,2006-04-27T00:00:00+00:00,2006-05-04T18:00:00+00:00,1.24621,1.27154,1.23326,1.27154,7007.3906,177.51891,0.7999999999999999
EURUSD,buy,2006-05-10T00:00:00+00:00,2006-05-12T09:00:00+00:00,1.27561,1.29406,1.26610,1.29406,9975.3258,184.03166,0.95
EURUSD,sell,2006-05-31T00:00:00+00:00,2006-06-01T12:00:00+00:00,1.28436,1.27241,1.29062,1.27241,15619.4980,186.61110,0.95
EURUSD,sell,2006-06-14T00:00:00+00:00,2006-06-15T13:00:00+00:00,1.25391,1.26490,1.26490,1.23250,8951.5244,-98.36038,0.85
EURUSD,buy,2006-06-21T00:00:00+00:00,2006-06-23T10:00:00+00:00,1.25963,1.25368,1.25368,1.27096,16613.3438,-98.83139,0.85
EURUSD,buy,2006-07-26T00:00:00+00:00,2006-07-26T06:00:00+00:00,1.25728,1.25610,1.25610,1.25907,95661.1580,-112.74275,0.85
EURUSD,buy,2006-08-02T00:00:00+00:00,2006-08-11T12:00:00+00:00,1.28232,1.27182,1.27182,1.30275,9076.3452,-95.32268,0.7
EURUSD,sell,2006-08-30T00:00:00+00:00,2006-08-30T01:00:00+00:00,1.28398,1.28371,1.28371,1.28325,201356.2872,53.83754,0.95
EURUSD,buy,2006-09-07T00:00:00+00:00,2006-09-07T08:00:00+00:00,1.28214,1.27944,1.27944,1.28697,37116.4412,-100.29948,0.7999999999999999
EURUSD,sell,2006-10-18T00:00:00+00:00,2006-10-19T09:00:00+00:00,1.25394,1.25660,1.25660,1.24919,37311.4464,-99.17828,0.85
EURUSD,sell,2006-10-11T00:00:00+00:00,2006-10-19T16:00:00+00:00,1.25375,1.26124,1.26124,1.23934,12624.5579,-94.53384,0.95
EURUSD,buy,2006-10-26T00:00:00+00:00,2006-11-07T14:00:00+00:00,1.26168,1.27991,1.25228,1.27991,9796.1077,178.59065,0.7999999999999999
EURUSD,buy,2006-11-01T00:00:00+00:00,2006-11-22T15:00:00+00:00,1.27640,1.29277,1.26793,1.29277,10896.3951,178.35839,0.95
EURUSD,buy,2006-11-22T00:00:00+00:00,2006-11-22T15:00:00+00:00,1.28430,1.29293,1.27970,1.29293,20863.5052,179.99746,0.85
EURUSD,sell,2006-12-13T00:00:00+00:00,2006-12-13T13:00:00+00:00,1.32641,1.32171,1.32906,1.32171,39016.9863,183.41918,0.85
EURUSD,buy,2006-11-29T00:00:00+00:00,2006-12-15T15:00:00+00:00,1.32000,1.30856,1.30856,1.34228,8504.5922,-97.27527,0.7
