trade_id,symbol,side,entry_time,exit_time,entry_price,exit_price,stop,target,size,pnl,r_multiple,confluence,duration_seconds,cumulative_pnl,equity_at_exit,drawdown,running_win_rate,running_profit_factor,running_sharpe
1,EURUSD,sell,2003-08-06T00:00:00+00:00,2003-08-06T02:00:00+00:00,1.13813,1.13969,1.13969,1.13552,71942.4460,-112.28381,-1.0000,0.7,7200.00,-112.28381,9887.71619,0.011228,0.000000,0.000000,-1.925067
2,EURUSD,sell,2003-08-27T00:00:00+00:00,2003-08-27T11:00:00+00:00,1.08574,1.09169,1.09169,1.07432,17077.2300,-101.65879,-1.0000,0.85,39600.00,-213.94260,9786.05740,0.021394,0.000000,0.000000,-2.393172
3,EURUSD,buy,2003-09-10T00:00:00+00:00,2003-09-29T15:00:00+00:00,1.12195,1.15638,1.10448,1.15638,5656.6806,194.76932,1.9711,0.85,1695600.00,-19.17328,9980.82672,0.001917,0.333333,0.910381,0.039219
4,EURUSD,sell,2003-11-05T00:00:00+00:00,2003-11-12T15:00:00+00:00,1.14671,1.16177,1.16177,1.11710,6703.0401,-100.96140,-1.0000,0.85,658800.00,-120.13469,9879.86531,0.015536,0.250000,0.618504,-0.349514
5,EURUSD,buy,2003-12-10T00:00:00+00:00,2003-12-11T08:00:00+00:00,1.22357,1.21466,1.21466,1.24085,11317.1424,-100.87544,-1.0000,0.95,115200.00,-221.01013,9893.40296,0.021952,0.200000,0.468444,-0.106144
6,EURUSD,buy,2003-12-03T00:00:00+00:00,2003-12-17T13:00:00+00:00,1.20843,1.23767,1.19354,1.23767,6716.4278,196.38004,1.9635,0.7,1256400.00,-24.63010,10132.08249,0.000000,0.333333,0.940762,0.630563
7,EURUSD,buy,2003-11-19T00:00:00+00:00,2003-12-29T08:00:00+00:00,1.19753,1.24737,1.17234,1.24737,3950.3660,196.88781,1.9786,0.95,3484800.00,172.25771,10172.25771,0.000000,0.428571,1.414301,0.705907
8,EURUSD,sell,2004-03-17T00:00:00+00:00,2004-03-18T15:00:00+00:00,1.22522,1.23695,1.23695,1.20230,8807.1495,-103.34142,-1.0000,0.95,140400.00,68.91630,10068.91630,0.015178,0.375000,1.132756,0.405854
9,EURUSD,sell,2004-03-31T00:00:00+00:00,2004-03-31T02:00:00+00:00,1.21873,1.22263,1.22263,1.21147,27066.9793,-105.63799,-1.0000,0.95,7200.00,-36.72170,9963.27830,0.025510,0.333333,0.941223,0.154763
10,EURUSD,buy,2004-06-03T00:00:00+00:00,2004-06-04T12:00:00+00:00,1.22102,1.21543,1.21543,1.23166,18416.4109,-103.00531,-1.0000,0.7999999999999999,129600.00,-139.72701,9860.27299,0.035585,0.300000,0.808005,-0.087591
